"","Rep","MOI","Productive","Productive.Co.Infected","Expressing.HA","Virion.Number","Parent.A.Percent","Parent.B.Percent","Reassortant.Percent","Reassortant.HN.Percent","Parent.A.Number","Parent.B.Number","Reassortant.Number","Reassortant.HN.Number","Six","HA.Neg","NS.Neg"
"1",1,0.01,0.03,0.002,0.113,3,53.3333333333333,40,6.66666666666667,3.33333333333333,160,120,20,10,1,0,0
"2",2,0.01,0.021,0.003,0.079,2.1,33.3333333333333,52.3809523809524,14.2857142857143,7.14285714285714,70,110,30,15,1,0,0
"3",3,0.01,0.014,0.002,0.06,1.4,7.25446428571429,78.5714285714286,14.1741071428571,7.14285714285714,10.15625,110,19.84375,10,1,0,0
"4",4,0.01,0.074,0.006,0.228,7.4,55.5215371621622,36.4864864864865,7.99197635135135,4.05405405405405,410.859375,270,59.140625,30,1,0,0
"5",5,0.01,0.027,0.003,0.109,2.7,48.1481481481481,40.7407407407407,11.1111111111111,5.55555555555556,130,110,30,15,1,0,0
"6",6,0.01,0.056,0.001,0.234,5.6,46.4285714285714,51.7857142857143,1.78571428571429,0.892857142857143,260,290,10,5,1,0,0
"7",7,0.01,0.013,0,0.151,1.3,46.1538461538462,53.8461538461538,0,0,60,70,0,0,1,0,0
"8",8,0.01,0.001,0,0.018,0.1,100,0,0,0,10,0,0,0,1,0,0
"9",9,0.01,0.012,0.000999999999999999,0.048,1.2,41.6666666666667,50,8.33333333333333,8.33333333333333,50,60,10,10,1,0,0
"10",10,0.01,0.037,0.005,0.144,3.7,40.5827702702703,45.945945945946,13.4712837837838,4.05405405405405,150.15625,170,49.84375,15,1,0,0
"11",11,0.01,0.153,0.006,0.333,15.3,46.4256535947712,49.6732026143791,3.90114379084967,1.96078431372549,710.3125,760,59.6875,30,1,0,0
"12",12,0.01,0.02,0.002,0.095,2,45,45,10,7.5,90,90,20,15,1,0,0
"13",13,0.01,0.042,0.001,0.184,4.2,66.6666666666667,30.952380952381,2.38095238095238,1.19047619047619,280,130,10,5,1,0,0
