"Rep","Segment","Pp"
"1","PB2",0.593705476997284
"2","PB2",0.505522925440002
"3","PB2",0.482522213548752
"4","PB2",0.61208478945887
"5","PB2",0.417139741463676
"6","PB2",0.588602503735361
"7","PB2",0.570238428660012
"8","PB2",0.336814372695433
"9","PB2",0.5355372390367
"10","PB2",0.587725247629315
"11","PB2",0.826170062307001
"12","PB2",0.448271414927319
"13","PB2",0.73774382946757
"1","PB1",0.461781362337703
"2","PB1",0.505522925440002
"3","PB1",0.428803849298015
"4","PB1",0.542319747696082
"5","PB1",0.453251676764822
"6","PB1",0.588602503735361
"7","PB1",0.570238428660012
"8","PB1",0.52070890241779
"9","PB1",0.293886537607186
"10","PB1",0.653729423849901
"11","PB1",0.632913907231502
"12","PB1",0.535026479282073
"13","PB1",0.468557720522342
"1","PA",0.414707231073872
"2","PA",0.434241970508256
"3","PA",0.428803849298015
"4","PA",0.684215193494445
"5","PA",0.568544588539683
"6","PA",0.588602503735361
"7","PA",0.772449820036933
"8","PA",0.277960698778578
"9","PA",0.386904436932111
"10","PA",0.524865345584775
"11","PA",0.43393754953565
"12","PA",0.448271414927319
"13","PA",0.553640325421161
"1","HA",0.685162279778329
"2","HA",0.644075220927078
"3","HA",0.598524991036812
"4","HA",0.758876999548123
"5","HA",0.741647954566736
"6","HA",0.693024301213329
"7","HA",0.476985749849648
"8","HA",0.336814372695433
"9","HA",0.64148053535907
"10","HA",0.524865345584775
"11","HA",0.826170062307001
"12","HA",0.682957583980349
"13","HA",0.597832356228097
"1","NP",0.593705476997284
"2","NP",0.644075220927078
"3","NP",0.568358499478749
"4","NP",0.684215193494445
"5","NP",0.695994989548584
"6","NP",0.806951541535026
"7","NP",0.570238428660012
"8","NP",0.58462563277547
"9","NP",0.587773075214373
"10","NP",0.72320906873099
"11","NP",0.880860127208427
"12","NP",0.630929753571458
"13","NP",0.787060254293369
"1","NA",0.75272534011805
"2","NA",0.531055892901848
"3","NA",0.568358499478749
"4","NA",0.684215193494445
"5","NA",0.568544588539683
"6","NA",0.588602503735361
"7","NA",0.388283833493476
"8","NA",0.52070890241779
"9","NA",0.587773075214373
"10","NA",0.653729423849901
"11","NA",0.548571758748111
"12","NA",0.535026479282073
"13","NA",0.689816786122027
"1","M",0.788847451180832
"2","M",0.644075220927078
"3","M",0.510397324331477
"4","M",0.61208478945887
"5","M",0.652002505225708
"6","M",0.492221414986106
"7","M",0.668534186019471
"8","M",0.58462563277547
"9","M",0.64148053535907
"10","M",0.555921095162042
"11","M",0.938676994602865
"12","M",0.58171564789654
"13","M",0.510567201282651
"1","NS",0.593705476997284
"2","NS",0.557590405088077
"3","NS",0.538996544357768
"4","NS",0.542319747696082
"5","NS",0.60955393942329
"6","NS",0.806951541535026
"7","NS",0.388283833493476
"8","NS",0.396857089801578
"9","NS",0.64148053535907
"10","NS",0.620314766654222
"11","NS",0.826170062307001
"12","NS",0.630929753571458
"13","NS",0.597832356228097
