"X","Y","r","r2","p"
"PB2","PB1",0.118492432547392,0.0140404565709982,1
"PB2","PA",0.132816714388096,0.0176402796208492,1
"PB2","HA",0.325362448990779,0.105860723213277,0.00540947391314406
"PB2","NP",0.254520918863861,0.0647808981393042,0.199854155659805
"PB2","NA",0.185524554719016,0.034419360403689,1
"PB2","M",0.147577673410336,0.0217791696892078,1
"PB2","NS",0.232946242593574,0.054263951938464,0.493654986774072
"PB1","PA",0.13320309605945,0.0177430647998231,1
"PB1","HA",0.0989676828047499,0.00979460223974159,1
"PB1","NP",0.108771092348245,0.0118311505306305,1
"PB1","NA",0.145642226509533,0.0212116581426542,1
"PB1","M",0.180223316123169,0.0324804436744317,1
"PB1","NS",0.216481381023494,0.0468641883298391,0.925323805436203
"PA","HA",0.259032194740421,0.0670976779120393,0.163521169236108
"PA","NP",0.124059253336647,0.0153906983384463,1
"PA","NA",0.295197617074048,0.0871416331261961,0.0283475463180287
"PA","M",0.0673127934230039,0.00453101215840799,1
"PA","NS",0.0144345225892662,0.000208355442380037,1
"HA","NP",0.228928488717983,0.0524082529466997,0.578303989144758
"HA","NA",0.31728868828015,0.100672111710538,0.0085744520347153
"HA","M",0.300037701174418,0.0900226221260291,0.0219916668919917
"HA","NS",0.26647613365712,0.0710095298088471,0.116412406711529
"NP","NA",0.157262368458613,0.0247314525332124,1
"NP","M",0.17450518357732,0.0304520590953543,1
"NP","NS",0.237536544942056,0.0564236101830094,0.410395785620242
"NA","M",0.232142248803626,0.0538900236796047,0.509669229021357
"NA","NS",0.11843535663256,0.0140269337006817,1
"M","NS",0.360675063898458,0.130086501718157,0.000622152826621036
