"Pp","Virion","Segments","Prob","Expected.Segments"
0.1,1,0,0.43046721,0.8
0.1,1,1,0.38263752,0.8
0.1,1,2,0.14880348,0.8
0.1,1,3,0.03306744,0.8
0.1,1,4,0.0045927,0.8
0.1,1,5,0.000408239999999999,0.8
0.1,1,6,2.268e-05,0.8
0.1,1,7,7.19999999999999e-07,0.8
0.1,1,8,9.99999999999998e-09,0.8
0.58,1,0,0.000968265199641598,4.64
0.58,1,1,0.0106970250627072,4.64
0.58,1,2,0.0517022878030847,4.64
0.58,1,3,0.14279679488471,4.64
0.58,1,4,0.246494467360512,4.64
0.58,1,5,0.27231769727447,4.64
0.58,1,6,0.188028886213325,4.64
0.58,1,7,0.0741882680297472,4.64
0.58,1,8,0.0128063081718016,4.64
0.9,1,0,9.99999999999998e-09,7.2
0.9,1,1,7.19999999999999e-07,7.2
0.9,1,2,2.268e-05,7.2
0.9,1,3,0.000408239999999999,7.2
0.9,1,4,0.00459269999999999,7.2
0.9,1,5,0.03306744,7.2
0.9,1,6,0.14880348,7.2
0.9,1,7,0.38263752,7.2
0.9,1,8,0.43046721,7.2
