"Pp","Fully_Infectious"
0.01,1e-14
0.02,2.56e-12
0.03,6.561e-11
0.04,6.5536e-10
0.05,3.90625e-09
0.06,1.679616e-08
0.07,5.764801e-08
0.08,1.6777216e-07
0.09,4.3046721e-07
0.1,9.99999999999999e-07
0.11,2.14358881e-06
0.12,4.29981696e-06
0.13,8.15730721e-06
0.14,1.475789056e-05
0.15,2.562890625e-05
0.16,4.294967296e-05
0.17,6.975757441e-05
0.18,0.00011019960576
0.19,0.00016983563041
0.2,0.000256
0.21,0.00037822859361
0.22,0.00054875873536
0.23,0.00078310985281
0.24,0.00110075314176
0.25,0.00152587890625
0.26,0.00208827064576
0.27,0.00282429536481
0.28,0.00377801998336
0.29,0.00500246412961
0.3,0.006561
0.31,0.00852891037441
0.32,0.01099511627776
0.33,0.01406408618241
0.34,0.01785793904896
0.35,0.02251875390625
0.36,0.02821109907456
0.37,0.03512479453921
0.38,0.04347792138496
0.39,0.05352009260481
0.4,0.065536
0.41,0.0798492522912101
0.42,0.0968265199641601
0.43,0.11688200277601
0.44,0.14048223625216
0.45,0.16815125390625
0.46,0.20047612231936
0.47,0.23811286661761
0.48,0.28179280429056
0.49,0.33232930569601
0.5,0.390625
0.51,0.45767944570401
0.52,0.53459728531456
0.53,0.62259690411361
0.54,0.72301961339136
0.55,0.837339378906251
0.56,0.967173115740161
0.57,1.11429157112001
0.58,1.28063081718016
0.59,1.46830437604321
0.6,1.679616
0.61,1.91707312997281
0.62,2.18340105584896
0.63,2.48155780267521
0.64,2.81474976710656
0.65,3.18644812890625
0.66,3.60040606269696
0.67,4.06067677556641
0.68,4.57163239653376
0.69,5.13798374428641
0.7,5.764801
0.71,6.45753531245762
0.72,7.22204136308736
0.73,8.06460091894081
0.74,8.99194740203776
0.75,10.0112915039062
0.76,11.1303478745498
0.77,12.3573629154768
0.78,13.7011437068314
0.79,15.1710880990656
0.8,16.777216
0.81,18.5302018885184
0.82,20.4414085865498
0.83,22.5229223213904
0.84,24.787589110825
0.85,27.2490525039062
0.86,29.9217927106586
0.87,32.8211671543712
0.88,35.963452480553
0.89,39.3658880570208
0.9,43.046721
0.91,47.0252527615152
0.92,51.3218873137562
0.93,55.958180966504
0.94,60.9568938541082
0.95,66.3420431289063
0.96,72.1389578983834
0.97,78.3743359437696
0.98,85.0763022581785
0.99,92.274469442792
1,100
