"Pp","Virion","Prob"
0.1,1,9.99999999999998e-09
0.1,2,1.6983563041e-06
0.1,3,2.90907104050242e-05
0.1,4,0.000195639888473843
0.1,5,0.000790890013160626
0.1,6,0.00232334804395418
0.1,7,0.00548766180520752
0.1,8,0.0110700571746688
0.1,9,0.0198289507741541
0.1,10,0.0323864715267179
0.1,11,0.0491532297243883
0.1,12,0.0702937046893734
0.1,13,0.0957285622653365
0.1,14,0.125164355726853
0.1,15,0.158139502035862
0.1,16,0.194076575655953
0.1,17,0.232333378796038
0.1,18,0.272247916329655
0.1,19,0.313174752059243
0.1,20,0.354512011351878
0.1,21,0.395719495110416
0.1,22,0.436329062572006
0.1,23,0.475948747036672
0.1,24,0.514262111220903
0.1,25,0.551024230560327
0.1,26,0.586055491476704
0.1,27,0.619234161308824
0.1,28,0.650488461227346
0.1,29,0.679788671913124
0.1,30,0.707139632529877
0.1,31,0.732573858308681
0.1,32,0.756145398713553
0.1,33,0.777924482536955
0.1,34,0.797992943542897
0.1,35,0.816440385655255
0.1,36,0.833361025871249
0.1,37,0.848851142404743
0.1,38,0.863007052056477
0.1,39,0.875923542137272
0.1,40,0.887692686666138
0.1,41,0.898402982726028
0.1,42,0.908138749858565
0.1,43,0.916979742579014
0.1,44,0.925000933077882
0.1,45,0.932272427691178
0.1,46,0.938859486628862
0.1,47,0.944822621691781
0.1,48,0.950217751276663
0.1,49,0.955096395895586
0.1,50,0.959505900769924
0.1,51,0.963489674858231
0.1,52,0.967087438005569
0.1,53,0.970335469820248
0.1,54,0.973266855450956
0.1,55,0.97591172470631
0.1,56,0.978297481977303
0.1,57,0.980449025233006
0.1,58,0.982388952997114
0.1,59,0.98413775870869
0.1,60,0.985714012250755
0.1,61,0.987134528717417
0.1,62,0.988414524702189
0.1,63,0.989567762542363
0.1,64,0.990606683059233
0.1,65,0.991542527401803
0.1,66,0.992385448640721
0.1,67,0.993144613776303
0.1,68,0.993828296824982
0.1,69,0.994443963636717
0.1,70,0.994998349075276
0.1,71,0.995497527166432
0.1,72,0.99594697478832
0.1,73,0.996351629444865
0.1,74,0.996715941628805
0.1,75,0.997043922246141
0.1,76,0.997339185539688
0.1,77,0.997604987916193
0.1,78,0.99784426304965
0.1,79,0.998059653603141
0.1,80,0.99825353988297
0.1,81,0.998428065712102
0.1,82,0.998585161784927
0.1,83,0.99872656674221
0.1,84,0.998853846183672
0.1,85,0.998968409815875
0.1,86,0.999071526914967
0.1,87,0.999164340267155
0.1,88,0.999247878734611
0.1,89,0.999323068580545
0.1,90,0.999390743674554
0.1,91,0.999451654687801
0.1,92,0.999506477377047
0.1,93,0.999555820047093
0.1,94,0.99960023027248
0.1,95,0.999640200951477
0.1,96,0.999676175758291
0.1,97,0.99970855405298
0.1,98,0.99973769530275
0.1,99,0.999763923063043
0.1,100,0.999787528562072
0.58,1,0.0128063081718016
0.58,2,0.211704799338556
0.58,3,0.540203882771561
0.58,4,0.776552514410628
0.58,5,0.900106485794565
0.58,6,0.956922173089887
0.58,7,0.98170498463312
0.58,8,0.992280078678303
0.58,9,0.996751255849988
0.58,10,0.998634400724155
0.58,11,0.999426249415286
0.58,12,0.999758989660553
0.58,13,0.999898769466143
0.58,14,0.999957482083582
0.58,15,0.999982142282437
0.58,16,0.999992499724636
0.58,17,0.999996849878352
0.58,18,0.99999867694785
0.58,19,0.999999444317911
0.58,20,0.999999766613489
0.58,21,0.99999990197766
0.58,22,0.999999958830616
0.58,23,0.999999982708858
0.58,24,0.99999999273772
0.58,25,0.999999996949843
0.58,26,0.999999998718934
0.58,27,0.999999999461952
0.58,28,0.99999999977402
0.58,29,0.999999999905088
0.58,30,0.999999999960137
0.58,31,0.999999999983258
0.58,32,0.999999999992968
0.58,33,0.999999999997046
