"PP","MOI","p_Infected_Comp"
0.1,1e-06,1.00008391821563e-08
0.1,1.02329299228075e-06,1.02338086544981e-08
0.1,1.0471285480509e-06,1.04722056256529e-08
0.1,1.07151930523761e-06,1.07161565627367e-08
0.1,1.09647819614319e-06,1.0965790880757e-08
0.1,1.12201845430196e-06,1.12212410113764e-08
0.1,1.14815362149688e-06,1.14826424732833e-08
0.1,1.17489755493953e-06,1.17501339442058e-08
0.1,1.20226443461741e-06,1.20238573346085e-08
0.1,1.23026877081238e-06,1.23039578631116e-08
0.1,1.25892541179417e-06,1.25905841336717e-08
0.1,1.28824955169313e-06,1.28838882145665e-08
0.1,1.31825673855641e-06,1.31840257192254e-08
0.1,1.34896288259165e-06,1.34911558889496e-08
0.1,1.38038426460288e-06,1.38054416775652e-08
0.1,1.41253754462276e-06,1.41270498380554e-08
0.1,1.44543977074593e-06,1.44561510112181e-08
0.1,1.47910838816821e-06,1.47929198163964e-08
0.1,1.51356124843621e-06,1.51375349443298e-08
0.1,1.54881661891248e-06,1.54901792521782e-08
0.1,1.58489319246111e-06,1.58510398607662e-08
0.1,1.62181009735893e-06,1.62203082541035e-08
0.1,1.65958690743756e-06,1.65981803812323e-08
0.1,1.69824365246175e-06,1.69848567604568e-08
0.1,1.73780082874938e-06,1.73805425860125e-08
0.1,1.77827941003892e-06,1.778544783723e-08
0.1,1.81970085860998e-06,1.81997873902541e-08
0.1,1.86208713666287e-06,1.86237811323765e-08
0.1,1.90546071796325e-06,1.90576540790458e-08
0.1,1.94984459975805e-06,1.95016364936149e-08
0.1,1.99526231496888e-06,1.99559640098929e-08
0.1,2.04173794466953e-06,2.04208777575659e-08
0.1,2.08929613085404e-06,2.08966244905542e-08
0.1,2.13796208950223e-06,2.13834567183765e-08
0.1,2.18776162394955e-06,2.18816328405894e-08
0.1,2.23872113856834e-06,2.23914172843776e-08
0.1,2.29086765276777e-06,2.29130806453665e-08
0.1,2.34422881531992e-06,2.34468998317343e-08
0.1,2.39883291901949e-06,2.39931582117017e-08
0.1,2.45470891568503e-06,2.45521457644773e-08
0.1,2.51188643150958e-06,2.5124159234743e-08
0.1,2.57039578276886e-06,2.57095022907588e-08
0.1,2.63026799189538e-06,2.63084856861768e-08
0.1,2.69153480392691e-06,2.69214274256489e-08
0.1,2.75422870333817e-06,2.7548652934319e-08
0.1,2.81838293126446e-06,2.81904952312906e-08
0.1,2.88403150312661e-06,2.88472951071659e-08
0.1,2.95120922666638e-06,2.95194013057489e-08
0.1,3.01995172040202e-06,3.02071707100155e-08
0.1,3.09029543251359e-06,3.09109685324463e-08
0.1,3.16227766016838e-06,3.16311685098309e-08
0.1,3.23593656929628e-06,3.23681531026447e-08
0.1,3.31131121482591e-06,3.31223136991099e-08
0.1,3.38844156139203e-06,3.38940508240486e-08
0.1,3.46736850452532e-06,3.46837743526447e-08
0.1,3.54813389233575e-06,3.54919037292288e-08
0.1,3.63078054770102e-06,3.63188681912052e-08
0.1,3.71535229097173e-06,3.71651069982445e-08
0.1,3.80189396320561e-06,3.80310696668652e-08
0.1,3.89045144994281e-06,3.89172162105327e-08
0.1,3.98107170553497e-06,3.98240173854076e-08
0.1,4.07380277804113e-06,4.07519549418758e-08
0.1,4.16869383470335e-06,4.17015218819996e-08
0.1,4.26579518801593e-06,4.26732227230291e-08
0.1,4.36515832240166e-06,4.36675737671199e-08
0.1,4.46683592150963e-06,4.46851033774023e-08
0.1,4.57088189614875e-06,4.57263522605559e-08
0.1,4.67735141287198e-06,4.67918737560431e-08
0.1,4.78630092322638e-06,4.78822341321599e-08
0.1,4.89778819368447e-06,4.89980128890684e-08
0.1,5.01187233627272e-06,5.01398030689753e-08
0.1,5.12861383991365e-06,5.13082115736289e-08
0.1,5.24807460249772e-06,5.25038594893094e-08
0.1,5.37031796370253e-06,5.37273824194893e-08
0.1,5.49540873857625e-06,5.49794308253499e-08
0.1,5.62341325190349e-06,5.62606703743416e-08
0.1,5.75439937337157e-06,5.75717822969795e-08
0.1,5.88843655355588e-06,5.89134637520719e-08
0.1,6.02559586074358e-06,6.02864282005854e-08
0.1,6.16595001861482e-06,6.16914057883501e-08
0.1,6.30957344480193e-06,6.31291437378234e-08
0.1,6.45654229034656e-06,6.46004067491228e-08
0.1,6.60693448007596e-06,6.61059774105556e-08
0.1,6.76082975391982e-06,6.76466566188731e-08
0.1,6.91830970918936e-06,6.92232640094806e-08
0.1,7.07945784384137e-06,7.08366383968475e-08
0.1,7.24435960074991e-06,7.2487638225359e-08
0.1,7.41310241300918e-06,7.4177142030865e-08
0.1,7.58577575029184e-06,7.59060489131824e-08
0.1,7.76247116628691e-06,7.76752790198162e-08
0.1,7.94328234724282e-06,7.94857740411701e-08
0.1,8.12830516164099e-06,8.13384977175254e-08
0.1,8.31763771102671e-06,8.32344363580744e-08
0.1,8.51138038202376e-06,8.51745993722973e-08
0.1,8.70963589956081e-06,8.71600198139866e-08
0.1,8.91250938133746e-06,8.91917549382202e-08
0.1,9.1201083935591e-06,9.12708867716064e-08
0.1,9.33254300796991e-06,9.33985226961151e-08
0.1,9.54992586021437e-06,9.55757960468331e-08
0.1,9.77237220955811e-06,9.78038667239763e-08
0.1,1e-05,1.00083921819516e-07
0.1,1.02329299228075e-05,1.02417176258764e-07
0.1,1.0471285480509e-05,1.04804873457296e-07
0.1,1.07151930523761e-05,1.07248285993578e-07
0.1,1.09647819614319e-05,1.09748716297685e-07
0.1,1.12201845430196e-05,1.12307497356506e-07
0.1,1.14815362149688e-05,1.14925993435845e-07
0.1,1.17489755493953e-05,1.17605600819824e-07
0.1,1.20226443461741e-05,1.2034774856802e-07
0.1,1.23026877081238e-05,1.23153899290777e-07
0.1,1.25892541179417e-05,1.26025549943131e-07
0.1,1.28824955169313e-05,1.28964232637816e-07
0.1,1.31825673855641e-05,1.31971515477824e-07
0.1,1.34896288259165e-05,1.35049003408996e-07
0.1,1.38038426460289e-05,1.38198339093147e-07
0.1,1.41253754462276e-05,1.41421203802233e-07
0.1,1.44543977074593e-05,1.44719318334086e-07
0.1,1.47910838816821e-05,1.48094443950245e-07
0.1,1.51356124843621e-05,1.51548383336452e-07
0.1,1.54881661891248e-05,1.55082981586355e-07
0.1,1.58489319246111e-05,1.58700127209022e-07
0.1,1.62181009735893e-05,1.62401753160845e-07
0.1,1.65958690743756e-05,1.66189837902459e-07
0.1,1.69824365246175e-05,1.70066406481293e-07
0.1,1.73780082874938e-05,1.74033531640404e-07
0.1,1.77827941003892e-05,1.78093334954263e-07
0.1,1.81970085860998e-05,1.82247987992153e-07
0.1,1.86208713666287e-05,1.86499713509906e-07
0.1,1.90546071796325e-05,1.90850786670672e-07
0.1,1.94984459975805e-05,1.95303536295466e-07
0.1,1.99526231496888e-05,1.99860346144256e-07
0.1,2.04173794466953e-05,2.04523656228362e-07
0.1,2.08929613085404e-05,2.09295964154963e-07
0.1,2.13796208950223e-05,2.14179826504538e-07
0.1,2.18776162394955e-05,2.19177860242091e-07
0.1,2.23872113856834e-05,2.24292744163004e-07
0.1,2.29086765276777e-05,2.29527220374435e-07
0.1,2.34422881531992e-05,2.34884095813153e-07
0.1,2.39883291901949e-05,2.40366243800775e-07
0.1,2.45470891568503e-05,2.45976605637344e-07
0.1,2.51188643150958e-05,2.51718192234264e-07
0.1,2.57039578276886e-05,2.57594085787605e-07
0.1,2.63026799189538e-05,2.63607441492828e-07
0.1,2.69153480392691e-05,2.69761489302013e-07
0.1,2.75422870333816e-05,2.76059535724692e-07
0.1,2.81838293126445e-05,2.82504965673452e-07
0.1,2.88403150312661e-05,2.89101244355447e-07
0.1,2.95120922666638e-05,2.95851919211066e-07
0.1,3.01995172040202e-05,3.02760621900973e-07
0.1,3.09029543251359e-05,3.09831070342807e-07
0.1,3.16227766016838e-05,3.17067070798862e-07
0.1,3.23593656929628e-05,3.24472520016095e-07
0.1,3.31131121482591e-05,3.32051407419859e-07
0.1,3.38844156139203e-05,3.39807817362791e-07
0.1,3.46736850452532e-05,3.47745931430341e-07
0.1,3.54813389233575e-05,3.55870030804449e-07
0.1,3.63078054770102e-05,3.64184498686949e-07
