"Pp","Virus_D","Spread_Frac","Sim","r0"
0.575,0.0663259253620378,"Diffusion Only",1,1.17609125905568
0.575,0.0663259253620378,"Diffusion Only",2,1.27875360095283
0.575,0.0663259253620378,"Diffusion Only",3,1.27875360095283
0.575,0.0663259253620378,"Diffusion Only",4,1.20411998265592
0.575,0.0663259253620378,"Diffusion Only",5,1.25527250510331
0.575,0.0663259253620378,"Diffusion Only",6,1.20411998265592
0.575,0.0663259253620378,"Diffusion Only",7,1.23044892137827
0.575,0.0663259253620378,"Diffusion Only",8,1.04139268515823
0.575,0.0663259253620378,"Diffusion Only",9,1.14612803567824
0.575,0.0663259253620378,"Diffusion Only",10,1.17609125905568
0.575,-0.933674074637962,"Diffusion Only",1,0.698970004336019
0.575,-0.933674074637962,"Diffusion Only",2,0.602059991327962
0.575,-0.933674074637962,"Diffusion Only",3,0.954242509439325
0.575,-0.933674074637962,"Diffusion Only",4,0.602059991327962
0.575,-0.933674074637962,"Diffusion Only",5,0.301029995663981
0.575,-0.933674074637962,"Diffusion Only",6,0.698970004336019
0.575,-0.933674074637962,"Diffusion Only",7,0.301029995663981
0.575,-0.933674074637962,"Diffusion Only",8,0.602059991327962
0.575,-0.933674074637962,"Diffusion Only",9,0.954242509439325
0.575,-0.933674074637962,"Diffusion Only",10,0.778151250383644
0.575,1.06632592536204,"Diffusion Only",1,0.954242509439325
0.575,1.06632592536204,"Diffusion Only",2,1.14612803567824
0.575,1.06632592536204,"Diffusion Only",3,1.36172783601759
0.575,1.06632592536204,"Diffusion Only",4,1.20411998265592
0.575,1.06632592536204,"Diffusion Only",5,1.68124123737559
0.575,1.06632592536204,"Diffusion Only",6,1.53147891704226
0.575,1.06632592536204,"Diffusion Only",7,1.04139268515823
0.575,1.06632592536204,"Diffusion Only",8,1.34242268082221
0.575,1.06632592536204,"Diffusion Only",9,0.954242509439325
0.575,1.06632592536204,"Diffusion Only",10,0.903089986991944
0.575,2.06632592536204,"Diffusion Only",1,0.301029995663981
0.575,2.06632592536204,"Diffusion Only",2,0.602059991327962
0.575,2.06632592536204,"Diffusion Only",3,0.301029995663981
0.575,2.06632592536204,"Diffusion Only",4,0.301029995663981
0.575,2.06632592536204,"Diffusion Only",5,0.602059991327962
0.575,2.06632592536204,"Diffusion Only",6,0.602059991327962
0.575,2.06632592536204,"Diffusion Only",7,0
0.575,2.06632592536204,"Diffusion Only",8,0.477121254719662
0.575,2.06632592536204,"Diffusion Only",9,0.602059991327962
0.575,2.06632592536204,"Diffusion Only",10,0
0.575,3.06632592536204,"Diffusion Only",1,0.301029995663981
0.575,3.06632592536204,"Diffusion Only",2,0.698970004336019
0.575,3.06632592536204,"Diffusion Only",3,0
0.575,3.06632592536204,"Diffusion Only",4,0.301029995663981
0.575,3.06632592536204,"Diffusion Only",5,0.301029995663981
0.575,3.06632592536204,"Diffusion Only",6,0.477121254719662
0.575,3.06632592536204,"Diffusion Only",7,0
0.575,3.06632592536204,"Diffusion Only",8,0
0.575,3.06632592536204,"Diffusion Only",9,0
0.575,3.06632592536204,"Diffusion Only",10,0.698970004336019
0.575,0.367355921026019,"Diffusion Only",1,1.20411998265592
0.575,0.367355921026019,"Diffusion Only",2,1.25527250510331
0.575,0.367355921026019,"Diffusion Only",3,1.30102999566398
0.575,0.367355921026019,"Diffusion Only",4,1.43136376415899
0.575,0.367355921026019,"Diffusion Only",5,1.46239799789896
0.575,0.367355921026019,"Diffusion Only",6,1.41497334797082
0.575,0.367355921026019,"Diffusion Only",7,1.20411998265592
0.575,0.367355921026019,"Diffusion Only",8,1.14612803567824
0.575,0.367355921026019,"Diffusion Only",9,1.14612803567824
0.575,0.367355921026019,"Diffusion Only",10,1.25527250510331
0.575,-0.632644078973981,"Diffusion Only",1,0.845098040014257
0.575,-0.632644078973981,"Diffusion Only",2,0.698970004336019
0.575,-0.632644078973981,"Diffusion Only",3,1
0.575,-0.632644078973981,"Diffusion Only",4,0.954242509439325
0.575,-0.632644078973981,"Diffusion Only",5,0.698970004336019
0.575,-0.632644078973981,"Diffusion Only",6,0.778151250383644
0.575,-0.632644078973981,"Diffusion Only",7,0.845098040014257
0.575,-0.632644078973981,"Diffusion Only",8,0.954242509439325
0.575,-0.632644078973981,"Diffusion Only",9,0.698970004336019
0.575,-0.632644078973981,"Diffusion Only",10,1.07918124604762
0.575,1.36735592102602,"Diffusion Only",1,1.11394335230684
0.575,1.36735592102602,"Diffusion Only",2,0
0.575,1.36735592102602,"Diffusion Only",3,0.698970004336019
0.575,1.36735592102602,"Diffusion Only",4,0.602059991327962
0.575,1.36735592102602,"Diffusion Only",5,1.36172783601759
0.575,1.36735592102602,"Diffusion Only",6,1
0.575,1.36735592102602,"Diffusion Only",7,1.07918124604762
0.575,1.36735592102602,"Diffusion Only",8,1.23044892137827
0.575,1.36735592102602,"Diffusion Only",9,0.698970004336019
0.575,1.36735592102602,"Diffusion Only",10,0.954242509439325
0.575,2.36735592102602,"Diffusion Only",1,0.301029995663981
0.575,2.36735592102602,"Diffusion Only",2,0.301029995663981
0.575,2.36735592102602,"Diffusion Only",3,0.477121254719662
0.575,2.36735592102602,"Diffusion Only",4,0
