"Spread_Frac","Virus_D","Intact_To_Target_Cells","Sim","To_Target_Cells","Target_Cell_Cost"
"Diffusion Only",-0.632644078973981,25.9,1,68,162.548262548263
"Diffusion Only",-0.632644078973981,25.9,2,69,166.409266409266
"Diffusion Only",-0.632644078973981,25.9,3,80,208.880308880309
"Diffusion Only",-0.632644078973981,25.9,4,84,224.324324324324
"Diffusion Only",-0.632644078973981,25.9,5,82,216.602316602317
"Diffusion Only",-0.632644078973981,25.9,6,82,216.602316602317
"Diffusion Only",-0.632644078973981,25.9,7,70,170.27027027027
"Diffusion Only",-0.632644078973981,25.9,8,81,212.741312741313
"Diffusion Only",-0.632644078973981,25.9,9,72,177.992277992278
"Diffusion Only",-0.632644078973981,25.9,10,84,224.324324324324
"Diffusion Only",-0.4565528199183,19.9,1,65,226.633165829146
"Diffusion Only",-0.4565528199183,19.9,2,66,231.658291457286
"Diffusion Only",-0.4565528199183,19.9,3,65,226.633165829146
"Diffusion Only",-0.4565528199183,19.9,4,62,211.557788944724
"Diffusion Only",-0.4565528199183,19.9,5,51,156.281407035176
"Diffusion Only",-0.4565528199183,19.9,6,63,216.582914572864
"Diffusion Only",-0.4565528199183,19.9,7,61,206.532663316583
"Diffusion Only",-0.4565528199183,19.9,8,61,206.532663316583
"Diffusion Only",-0.4565528199183,19.9,9,61,206.532663316583
"Diffusion Only",-0.4565528199183,19.9,10,66,231.658291457286
"Diffusion Only",-0.33161408331,17.2,1,54,213.953488372093
"Diffusion Only",-0.33161408331,17.2,2,55,219.767441860465
"Diffusion Only",-0.33161408331,17.2,3,54,213.953488372093
"Diffusion Only",-0.33161408331,17.2,4,57,231.395348837209
"Diffusion Only",-0.33161408331,17.2,5,53,208.139534883721
"Diffusion Only",-0.33161408331,17.2,6,56,225.581395348837
"Diffusion Only",-0.33161408331,17.2,7,49,184.883720930233
"Diffusion Only",-0.33161408331,17.2,8,51,196.511627906977
"Diffusion Only",-0.33161408331,17.2,9,52,202.325581395349
"Diffusion Only",-0.33161408331,17.2,10,52,202.325581395349
"Diffusion Only",-0.234704070301943,15,1,43,186.666666666667
"Diffusion Only",-0.234704070301943,15,2,40,166.666666666667
"Diffusion Only",-0.234704070301943,15,3,43,186.666666666667
"Diffusion Only",-0.234704070301943,15,4,43,186.666666666667
"Diffusion Only",-0.234704070301943,15,5,45,200
"Diffusion Only",-0.234704070301943,15,6,42,180
"Diffusion Only",-0.234704070301943,15,7,50,233.333333333333
"Diffusion Only",-0.234704070301943,15,8,45,200
"Diffusion Only",-0.234704070301943,15,9,44,193.333333333333
"Diffusion Only",-0.234704070301943,15,10,47,213.333333333333
"Diffusion Only",0.0663259253620378,11.7,1,29,147.863247863248
"Diffusion Only",0.0663259253620378,11.7,2,31,164.957264957265
"Diffusion Only",0.0663259253620378,11.7,3,25,113.675213675214
"Diffusion Only",0.0663259253620378,11.7,4,30,156.410256410256
"Diffusion Only",0.0663259253620378,11.7,5,29,147.863247863248
"Diffusion Only",0.0663259253620378,11.7,6,31,164.957264957265
"Diffusion Only",0.0663259253620378,11.7,7,32,173.504273504274
"Diffusion Only",0.0663259253620378,11.7,8,33,182.051282051282
"Diffusion Only",0.0663259253620378,11.7,9,33,182.051282051282
"Diffusion Only",0.0663259253620378,11.7,10,30,156.410256410256
"Diffusion Only",0.367355921026019,9.1,1,24,163.736263736264
"Diffusion Only",0.367355921026019,9.1,2,22,141.758241758242
"Diffusion Only",0.367355921026019,9.1,3,25,174.725274725275
"Diffusion Only",0.367355921026019,9.1,4,22,141.758241758242
"Diffusion Only",0.367355921026019,9.1,5,20,119.78021978022
"Diffusion Only",0.367355921026019,9.1,6,23,152.747252747253
"Diffusion Only",0.367355921026019,9.1,7,23,152.747252747253
"Diffusion Only",0.367355921026019,9.1,8,22,141.758241758242
"Diffusion Only",0.367355921026019,9.1,9,25,174.725274725275
"Diffusion Only",0.367355921026019,9.1,10,22,141.758241758242
"Diffusion Only",0.5434471800817,7.9,1,20,153.164556962025
"Diffusion Only",0.5434471800817,7.9,2,21,165.822784810127
"Diffusion Only",0.5434471800817,7.9,3,20,153.164556962025
"Diffusion Only",0.5434471800817,7.9,4,21,165.822784810127
"Diffusion Only",0.5434471800817,7.9,5,19,140.506329113924
"Diffusion Only",0.5434471800817,7.9,6,20,153.164556962025
"Diffusion Only",0.5434471800817,7.9,7,21,165.822784810127
"Diffusion Only",0.5434471800817,7.9,8,21,165.822784810127
"Diffusion Only",0.5434471800817,7.9,9,21,165.822784810127
"Diffusion Only",0.5434471800817,7.9,10,20,153.164556962025
"Diffusion Only",0.66838591669,7.5,1,19,153.333333333333
"Diffusion Only",0.66838591669,7.5,2,19,153.333333333333
"Diffusion Only",0.66838591669,7.5,3,20,166.666666666667
"Diffusion Only",0.66838591669,7.5,4,19,153.333333333333
"Diffusion Only",0.66838591669,7.5,5,19,153.333333333333
"Diffusion Only",0.66838591669,7.5,6,17,126.666666666667
"Diffusion Only",0.66838591669,7.5,7,19,153.333333333333
"Diffusion Only",0.66838591669,7.5,8,20,166.666666666667
"Diffusion Only",0.66838591669,7.5,9,21,180
"Diffusion Only",0.66838591669,7.5,10,19,153.333333333333
"Diffusion Only",0.765295929698057,7.2,1,18,150
