"Virus_D","Spread_Frac","Target_Virion_Cost"
0.0663259253620378,"Diffusion Only",190.066225165563
0.367355921026019,"Diffusion Only",157.990867579909
0.5434471800817,"Diffusion Only",150.27027027027
0.66838591669,"Diffusion Only",141.916167664671
0.765295929698057,"Diffusion Only",133.333333333333
1.06632592536204,"Diffusion Only",136.363636363636
1.36735592102602,"Diffusion Only",151.304347826087
1.5434471800817,"Diffusion Only",156.880733944954
1.66838591669,"Diffusion Only",167.289719626168
1.76529592969806,"Diffusion Only",185.436893203883
2.06632592536204,"Diffusion Only",234.343434343434
2.36735592102602,"Diffusion Only",275.257731958763
2.5434471800817,"Diffusion Only",309.183673469388
2.66838591669,"Diffusion Only",290.816326530612
2.76529592969806,"Diffusion Only",319.387755102041
3.06632592536204,"Diffusion Only",337.755102040816
3.36735592102602,"Diffusion Only",350
3.5434471800817,"Diffusion Only",345.918367346939
3.66838591669,"Diffusion Only",338.144329896907
3.76529592969806,"Diffusion Only",346.875
