"PP","MOI","p8_NoComp","p8_Comp","pIncomplete"
0.58,1e-06,1.28063080898009e-08,1.28064012178837e-08,0.987193592378915
0.58,1.02329299228075e-06,1.3104605323327e-08,1.31047028404009e-08,0.987193590062442
0.58,1.0471285480509e-06,1.34098507919189e-08,1.34099529048307e-08,0.987193587692012
0.58,1.07151930523761e-06,1.37222063407581e-08,1.37223132661029e-08,0.987193585266368
0.58,1.09647819614319e-06,1.40418375848842e-08,1.40419495494649e-08,0.987193582784223
0.58,1.12201845430196e-06,1.43689139970066e-08,1.43690312383152e-08,0.987193580244262
0.58,1.14815362149688e-06,1.47036089973611e-08,1.4703731764082e-08,0.987193577645137
0.58,1.17489755493953e-06,1.50461000456593e-08,1.50462285981971e-08,0.98719357498547
0.58,1.20226443461741e-06,1.53965687351803e-08,1.53967033462122e-08,0.987193572263852
0.58,1.23026877081238e-06,1.57552008890537e-08,1.57553418441078e-08,0.98719356947884
0.58,1.25892541179417e-06,1.61221866587859e-08,1.61223342568465e-08,0.987193566628956
0.58,1.28824955169313e-06,1.64977206250802e-08,1.64978751792226e-08,0.987193563712689
0.58,1.31825673855641e-06,1.68820019010064e-08,1.68821637390607e-08,0.987193560728494
0.58,1.34896288259165e-06,1.72752342375737e-08,1.727540370282e-08,0.987193557674788
0.58,1.38038426460288e-06,1.7677626131761e-08,1.76778035836578e-08,0.987193554549952
0.58,1.41253754462276e-06,1.80893909370659e-08,1.80895767520123e-08,0.987193551352329
0.58,1.44543977074593e-06,1.85107469766267e-08,1.85109415487611e-08,0.987193548080224
0.58,1.47910838816821e-06,1.89419176589807e-08,1.89421214010166e-08,0.987193544731902
0.58,1.51356124843621e-06,1.9383131596518e-08,1.93833449406194e-08,0.987193541305587
0.58,1.54881661891248e-06,1.98346227266949e-08,1.98348461253933e-08,0.987193537799463
0.58,1.58489319246111e-06,2.02966304360709e-08,2.02968643632247e-08,0.98719353421167
0.58,1.62181009735893e-06,2.0769399687234e-08,2.07696446390341e-08,0.987193530540307
0.58,1.65958690743756e-06,2.12531811486838e-08,2.12534376447055e-08,0.987193526783427
0.58,1.69824365246175e-06,2.17482313277383e-08,2.1748499912044e-08,0.987193522939038
0.58,1.73780082874938e-06,2.22548127065384e-08,2.22550939488314e-08,0.987193519005102
0.58,1.77827941003892e-06,2.27731938812188e-08,2.27734883780515e-08,0.987193514979532
0.58,1.81970085860998e-06,2.33036497043214e-08,2.33039580803609e-08,0.987193510860194
0.58,1.86208713666287e-06,2.38464614305255e-08,2.38467843398786e-08,0.987193506644905
0.58,1.90546071796325e-06,2.4401916865773e-08,2.44022549933736e-08,0.987193502331429
0.58,1.94984459975805e-06,2.49703105198665e-08,2.49706645829284e-08,0.987193497917479
0.58,1.99526231496888e-06,2.55519437626228e-08,2.55523145121611e-08,0.987193493400714
0.58,2.04173794466953e-06,2.61471249836627e-08,2.61475132060866e-08,0.987193488778741
0.58,2.08929613085404e-06,2.67561697559233e-08,2.67565762747043e-08,0.987193484049108
0.58,2.13796208950223e-06,2.73794010029787e-08,2.73798266803976e-08,0.987193479209307
0.58,2.18776162394955e-06,2.80171491702588e-08,2.80175949092341e-08,0.987193474256773
0.58,2.23872113856834e-06,2.86697524002553e-08,2.8670219146259e-08,0.987193469188879
0.58,2.29086765276777e-06,2.93375567118098e-08,2.93380454548723e-08,0.987193464002938
0.58,2.34422881531992e-06,3.00209161835767e-08,3.00214279603873e-08,0.987193458696202
0.58,2.39883291901949e-06,3.07201931417609e-08,3.07207290378666e-08,0.987193453265855
0.58,2.45470891568503e-06,3.1435758352228e-08,3.14363195043359e-08,0.987193447709019
0.58,2.51188643150958e-06,3.21679912170889e-08,3.21685788154775e-08,0.987193442022747
0.58,2.57039578276886e-06,3.29172799758636e-08,3.29178952669075e-08,0.987193436204025
0.58,2.63026799189538e-06,3.36840219113313e-08,3.36846662001448e-08,0.987193430249767
