"Virus_D","Spread_Frac","Max_Semi"
-0.933674074637962,"Diffusion Only",32.85
-0.632644078973981,"Diffusion Only",46.1
-0.4565528199183,"Diffusion Only",61.5
-0.33161408331,"Diffusion Only",77.85
-0.234704070301943,"Diffusion Only",91.5
0.0663259253620378,"Diffusion Only",166.5
0.367355921026019,"Diffusion Only",284.05
0.5434471800817,"Diffusion Only",336.5
0.66838591669,"Diffusion Only",385
0.765295929698057,"Diffusion Only",426.6
1.06632592536204,"Diffusion Only",576.25
1.36735592102602,"Diffusion Only",789.3
1.5434471800817,"Diffusion Only",930.8
1.66838591669,"Diffusion Only",1041
1.76529592969806,"Diffusion Only",1148.95
2.06632592536204,"Diffusion Only",1586.3
2.36735592102602,"Diffusion Only",2240.85
2.5434471800817,"Diffusion Only",2736
2.66838591669,"Diffusion Only",2861.95
2.76529592969806,"Diffusion Only",2961.1
3.06632592536204,"Diffusion Only",3031.7
3.36735592102602,"Diffusion Only",3042.3
3.5434471800817,"Diffusion Only",3045.25
3.66838591669,"Diffusion Only",3034.7
3.76529592969806,"Diffusion Only",3036.15
