"Sim","Spread_Frac","Pp","Virus_D","Max_Productive","Max_Virions","Max_Semi"
1,"Diffusion Only",0.575,-0.933674074637962,88,18182,59
1,"Diffusion Only",0.575,-0.632644078973981,130,29643,97
1,"Diffusion Only",0.575,-0.4565528199183,173,40459,125
1,"Diffusion Only",0.575,-0.33161408331,216,48174,155
1,"Diffusion Only",0.575,-0.234704070301943,259,60265,183
1,"Diffusion Only",0.575,0.0663259253620378,506,113414,335
1,"Diffusion Only",0.575,0.367355921026019,924,215478,576
1,"Diffusion Only",0.575,0.5434471800817,1056,246774,668
1,"Diffusion Only",0.575,0.66838591669,1198,278146,779
1,"Diffusion Only",0.575,0.765295929698057,1321,302586,845
1,"Diffusion Only",0.575,1.06632592536204,1742,390203,1166
1,"Diffusion Only",0.575,1.36735592102602,2320,491128,1551
1,"Diffusion Only",0.575,1.5434471800817,2683,548246,1904
1,"Diffusion Only",0.575,1.66838591669,2916,580291,2132
1,"Diffusion Only",0.575,1.76529592969806,3345,628300,2246
1,"Diffusion Only",0.575,2.06632592536204,4002,701911,3252
1,"Diffusion Only",0.575,2.36735592102602,4933,746607,4575
1,"Diffusion Only",0.575,2.5434471800817,5644,779485,5909
1,"Diffusion Only",0.575,2.66838591669,5599,766235,5972
1,"Diffusion Only",0.575,2.76529592969806,5748,775941,6039
1,"Diffusion Only",0.575,3.06632592536204,5776,783066,6089
1,"Diffusion Only",0.575,3.36735592102602,5776,785336,6057
1,"Diffusion Only",0.575,3.5434471800817,5773,778675,6059
1,"Diffusion Only",0.575,3.66838591669,5756,782886,6040
1,"Diffusion Only",0.575,3.76529592969806,5688,773701,6094
1,"Diffusion Only",1,-0.933674074637962,359,83100,0
1,"Diffusion Only",1,-0.632644078973981,580,132456,0
1,"Diffusion Only",1,-0.4565528199183,741,176746,0
1,"Diffusion Only",1,-0.33161408331,871,209700,0
1,"Diffusion Only",1,-0.234704070301943,933,221101,0
1,"Diffusion Only",1,0.0663259253620378,1170,279571,0
1,"Diffusion Only",1,0.367355921026019,1651,373216,0
1,"Diffusion Only",1,0.5434471800817,2095,455111,0
1,"Diffusion Only",1,0.66838591669,2260,490682,0
1,"Diffusion Only",1,0.765295929698057,2513,527537,0
1,"Diffusion Only",1,1.06632592536204,3269,625699,0
1,"Diffusion Only",1,1.36735592102602,3962,694496,0
1,"Diffusion Only",1,1.5434471800817,4606,742671,0
1,"Diffusion Only",1,1.66838591669,4755,750450,0
1,"Diffusion Only",1,1.76529592969806,5229,779361,0
1,"Diffusion Only",1,2.06632592536204,5919,798489,0
1,"Diffusion Only",1,2.36735592102602,6409,810227,0
1,"Diffusion Only",1,2.5434471800817,6538,808382,0
1,"Diffusion Only",1,2.66838591669,6519,803934,0
1,"Diffusion Only",1,2.76529592969806,6650,809728,0
1,"Diffusion Only",1,3.06632592536204,6574,802199,0
1,"Diffusion Only",1,3.36735592102602,6571,800492,0
1,"Diffusion Only",1,3.5434471800817,6592,808724,0
1,"Diffusion Only",1,3.66838591669,6625,808845,0
1,"Diffusion Only",1,3.76529592969806,6546,808230,0
2,"Diffusion Only",0.575,-0.933674074637962,83,16558,64
2,"Diffusion Only",0.575,-0.632644078973981,136,31994,103
2,"Diffusion Only",0.575,-0.4565528199183,199,42033,116
2,"Diffusion Only",0.575,-0.33161408331,221,49164,146
2,"Diffusion Only",0.575,-0.234704070301943,243,57181,195
2,"Diffusion Only",0.575,0.0663259253620378,445,106037,331
2,"Diffusion Only",0.575,0.367355921026019,891,207969,561
2,"Diffusion Only",0.575,0.5434471800817,1040,248335,669
2,"Diffusion Only",0.575,0.66838591669,1154,265327,761
2,"Diffusion Only",0.575,0.765295929698057,1298,298558,857
2,"Diffusion Only",0.575,1.06632592536204,1730,391774,1108
2,"Diffusion Only",0.575,1.36735592102602,2287,486329,1573
2,"Diffusion Only",0.575,1.5434471800817,2616,544080,1804
2,"Diffusion Only",0.575,1.66838591669,2913,584535,2137
2,"Diffusion Only",0.575,1.76529592969806,3297,619826,2306
2,"Diffusion Only",0.575,2.06632592536204,4051,699415,3225
2,"Diffusion Only",0.575,2.36735592102602,4827,744161,4261
2,"Diffusion Only",0.575,2.5434471800817,5276,765343,5244
2,"Diffusion Only",0.575,2.66838591669,5512,769015,5550
2,"Diffusion Only",0.575,2.76529592969806,5564,768719,5937
2,"Diffusion Only",0.575,3.06632592536204,5752,774782,6037
2,"Diffusion Only",0.575,3.36735592102602,5722,774167,6075
2,"Diffusion Only",0.575,3.5434471800817,5701,778542,6065
2,"Diffusion Only",0.575,3.66838591669,5749,779454,5950
2,"Diffusion Only",0.575,3.76529592969806,5697,771421,6102
2,"Diffusion Only",1,-0.933674074637962,366,84736,0
2,"Diffusion Only",1,-0.632644078973981,559,133567,0
2,"Diffusion Only",1,-0.4565528199183,775,180407,0
2,"Diffusion Only",1,-0.33161408331,862,204080,0
2,"Diffusion Only",1,-0.234704070301943,922,222728,0
2,"Diffusion Only",1,0.0663259253620378,1262,296106,0
2,"Diffusion Only",1,0.367355921026019,1762,397877,0
2,"Diffusion Only",1,0.5434471800817,2053,442599,0
2,"Diffusion Only",1,0.66838591669,2351,498991,0
2,"Diffusion Only",1,0.765295929698057,2677,544620,0
2,"Diffusion Only",1,1.06632592536204,3158,606857,0
2,"Diffusion Only",1,1.36735592102602,3990,698981,0
2,"Diffusion Only",1,1.5434471800817,4611,743513,0
2,"Diffusion Only",1,1.66838591669,4769,750895,0
2,"Diffusion Only",1,1.76529592969806,5059,765819,0
2,"Diffusion Only",1,2.06632592536204,5847,793075,0
2,"Diffusion Only",1,2.36735592102602,6242,801138,0
2,"Diffusion Only",1,2.5434471800817,6489,804283,0
