"Dilution","Gate","Percent","Marker","Parent","Marker_Class"
0,"HAgM1",96.7,"HA","M1+","H"
0,"HAgM1",94.1,"HA","M1+","H"
0,"HAgM1",99.4,"HA","M1+","H"
0.5,"HAgM1",98.5,"HA","M1+","H"
0.5,"HAgM1",92.7,"HA","M1+","H"
0.5,"HAgM1",98,"HA","M1+","H"
1,"HAgM1",95.4,"HA","M1+","H"
1,"HAgM1",94.5,"HA","M1+","H"
1,"HAgM1",96.3,"HA","M1+","H"
1.5,"HAgM1",91.1,"HA","M1+","H"
1.5,"HAgM1",84.1,"HA","M1+","H"
1.5,"HAgM1",89.9,"HA","M1+","H"
2,"HAgM1",88.9,"HA","M1+","H"
2,"HAgM1",71.4,"HA","M1+","H"
2,"HAgM1",64.3,"HA","M1+","H"
0,"HAgM2",99.8,"HA","M2+","H"
0,"HAgM2",100,"HA","M2+","H"
0,"HAgM2",99.5,"HA","M2+","H"
0.5,"HAgM2",99.1,"HA","M2+","H"
0.5,"HAgM2",99,"HA","M2+","H"
0.5,"HAgM2",99.1,"HA","M2+","H"
1,"HAgM2",99.2,"HA","M2+","H"
1,"HAgM2",96.2,"HA","M2+","H"
1,"HAgM2",96.6,"HA","M2+","H"
1.5,"HAgM2",93.1,"HA","M2+","H"
1.5,"HAgM2",90.6,"HA","M2+","H"
1.5,"HAgM2",90.7,"HA","M2+","H"
2,"HAgM2",80,"HA","M2+","H"
2,"HAgM2",80,"HA","M2+","H"
2,"HAgM2",83.9,"HA","M2+","H"
0,"M1gM2",77.8,"M1","M2+","M"
0,"M1gM2",72.5,"M1","M2+","M"
0,"M1gM2",77.2,"M1","M2+","M"
0.5,"M1gM2",58.3,"M1","M2+","M"
0.5,"M1gM2",64.5,"M1","M2+","M"
0.5,"M1gM2",60.9,"M1","M2+","M"
1,"M1gM2",42.4,"M1","M2+","M"
1,"M1gM2",41.8,"M1","M2+","M"
1,"M1gM2",41.2,"M1","M2+","M"
1.5,"M1gM2",24.1,"M1","M2+","M"
1.5,"M1gM2",28.2,"M1","M2+","M"
1.5,"M1gM2",31.3,"M1","M2+","M"
2,"M1gM2",26.7,"M1","M2+","M"
2,"M1gM2",0,"M1","M2+","M"
2,"M1gM2",12.9,"M1","M2+","M"
0,"M2gM1",89.3,"M2","M1+","M"
0,"M2gM1",85.3,"M2","M1+","M"
0,"M2gM1",87.7,"M2","M1+","M"
0.5,"M2gM1",70.6,"M2","M1+","M"
0.5,"M2gM1",70.9,"M2","M1+","M"
0.5,"M2gM1",69.2,"M2","M1+","M"
1,"M2gM1",64.4,"M2","M1+","M"
1,"M2gM1",53.9,"M2","M1+","M"
1,"M2gM1",54.5,"M2","M1+","M"
1.5,"M2gM1",37.5,"M2","M1+","M"
1.5,"M2gM1",38.1,"M2","M1+","M"
1.5,"M2gM1",38.3,"M2","M1+","M"
2,"M2gM1",44.4,"M2","M1+","M"
2,"M2gM1",0,"M2","M1+","M"
2,"M2gM1",28.6,"M2","M1+","M"
