"Experiment","Strain","Day","GP","RNA_Conc","RNA_Shed","Virus"
"NTJ69","MUT",1,21,0.75,5.0019344997772,"M.STOP"
"NTJ69","MUT",1,22,5.5,5.86723592587974,"M.STOP"
"NTJ69","MUT",1,23,4.1,5.73965709310523,"M.STOP"
"NTJ69","MUT",1,24,12.3,6.2167783478249,"M.STOP"
"NTJ69","MUT",2,21,66.6,6.9503474655558,"M.STOP"
"NTJ69","MUT",2,22,98,7.11809931207799,"M.STOP"
"NTJ69","MUT",2,23,25.8,6.53849294234873,"M.STOP"
"NTJ69","MUT",2,24,81,7.03535825526415,"M.STOP"
"NTJ69","MUT",3,21,28,6.57403126772772,"M.STOP"
"NTJ69","MUT",3,22,10.6,6.15217910165027,"M.STOP"
"NTJ69","MUT",3,23,44.1,6.77131182585334,"M.STOP"
"NTJ69","MUT",3,24,47.3,6.80173437712331,"M.STOP"
"NTJ73","WT",1,13,21.5,6.45931169630111,"WT"
"NTJ73","WT",1,14,19,6.40562683733833,"WT"
"NTJ73","WT",1,15,62.3,6.92136128304467,"WT"
"NTJ73","WT",1,16,65,6.93978659302836,"WT"
"NTJ73","WT",2,13,150,7.30296449544118,"WT"
"NTJ73","WT",2,14,309,7.61683171581033,"WT"
"NTJ73","WT",2,15,530,7.85114910598629,"WT"
"NTJ73","WT",2,16,3150,8.6251837901751,"WT"
"NTJ73","WT",3,13,6.3,5.92621378583908,"WT"
"NTJ73","WT",3,14,29.2,6.59225608783392,"WT"
"NTJ73","WT",3,15,66.3,6.94838676479027,"WT"
"NTJ73","WT",3,16,185,7.39404496478851,"WT"
"NTJ69","MUT",5,21,0,-Inf,"M.STOP"
"NTJ69","MUT",5,22,0,-Inf,"M.STOP"
"NTJ69","MUT",5,23,0,-Inf,"M.STOP"
"NTJ69","MUT",5,24,0,-Inf,"M.STOP"
"NTJ73","WT",5,13,0,-Inf,"WT"
"NTJ73","WT",5,14,0,-Inf,"WT"
"NTJ73","WT",5,15,0,-Inf,"WT"
"NTJ73","WT",5,16,0,-Inf,"WT"
"NTJ69","MUT",7,21,0,-Inf,"M.STOP"
"NTJ69","MUT",7,22,0,-Inf,"M.STOP"
"NTJ69","MUT",7,23,0,-Inf,"M.STOP"
"NTJ69","MUT",7,24,0,-Inf,"M.STOP"
"NTJ73","WT",7,13,0,-Inf,"WT"
"NTJ73","WT",7,14,0,-Inf,"WT"
"NTJ73","WT",7,15,0,-Inf,"WT"
"NTJ73","WT",7,16,0,-Inf,"WT"
