"GP","Day","Dose","RNA_Conc","RNA_Shed"
1,1,"Low",6,5.90502448676914
2,1,"Low",1.4,5.27300127206374
3,1,"Low",7.3,5.99019609650596
4,1,"Low",4.5,5.78008575016084
5,1,"High",149,7.30005950479777
6,1,"High",63.9,6.9323740945439
7,1,"High",232,7.4923612212764
8,1,"High",221,7.47126551007061
1,2,"Low",184,7.39169105939504
2,2,"Low",1965,8.42023579109694
3,2,"Low",304,7.60974681999425
4,2,"Low",829,8.04542776693577
5,2,"High",162,7.33638825092813
6,2,"High",647,7.9377775170542
7,2,"High",781,8.0195242702628
8,2,"High",440,7.77032591287169
1,3,"Low",765,8.01053467153912
2,3,"Low",339,7.65707293458858
3,3,"Low",1129,8.17956717831047
4,3,"Low",535,7.85522701840673
5,3,"High",76.2,7.0088282077251
6,3,"High",413,7.7428232880419
7,3,"High",668,7.95164969886105
8,3,"High",168,7.35218251811136
1,5,"Low",2.3,5.48860107240309
2,5,"Low",0.9,5.08111574582482
3,5,"Low",1.9,5.40562683733833
4,5,"Low",8.5,6.05629216209979
5,5,"High",4.2,5.7501225267834
6,5,"High",1.9,5.40562683733833
7,5,"High",1,5.1268732363855
8,5,"High",1.1,5.16826592154372
1,7,"Low",0.54,4.85926699620847
2,7,"Low",0.07,4.02996322337744
3,7,"Low",0,4.02996322337744
4,7,"Low",0,4.02996322337744
5,7,"High",0.53,4.85114910598629
6,7,"High",0.25,4.52481324505754
7,7,"High",0,4.02996322337744
8,7,"High",0.14,4.27300127206374
