"GP","Pair","Cage","Status","Strain","Day","RNA","Virus"
9,5,1,"Exposed","WT",2,-Inf,"WT"
10,5,1,"Inoculated","WT",2,7.30005950479777,"WT"
11,6,2,"Exposed","WT",2,-Inf,"WT"
12,6,2,"Inoculated","WT",2,5.55823700054449,"WT"
13,7,3,"Exposed","WT",2,3.97197127639976,"WT"
14,7,3,"Inoculated","WT",2,8.14474095534901,"WT"
15,8,4,"Exposed","WT",2,-Inf,"WT"
16,8,4,"Inoculated","WT",2,5.72893322771346,"WT"
9,5,1,"Exposed","WT",4,5.01336396155798,"WT"
10,5,1,"Inoculated","WT",4,6.48860107240309,"WT"
11,6,2,"Exposed","WT",4,-Inf,"WT"
12,6,2,"Inoculated","WT",4,6.94311453637728,"WT"
13,7,3,"Exposed","WT",4,6.83783635538078,"WT"
14,7,3,"Inoculated","WT",4,7.74596656701224,"WT"
15,8,4,"Exposed","WT",4,3.90502448676914,"WT"
16,8,4,"Inoculated","WT",4,7.07135590853567,"WT"
9,5,1,"Exposed","WT",6,6.9248328801227,"WT"
10,5,1,"Inoculated","WT",6,-Inf,"WT"
11,6,2,"Exposed","WT",6,-Inf,"WT"
12,6,2,"Inoculated","WT",6,5.91220307139627,"WT"
13,7,3,"Exposed","WT",6,7.20965860670195,"WT"
14,7,3,"Inoculated","WT",6,6.85684752208506,"WT"
15,8,4,"Exposed","WT",6,4.24081658869234,"WT"
16,8,4,"Inoculated","WT",6,5.78963106806707,"WT"
9,5,1,"Exposed","WT",8,6.46333297023403,"WT"
10,5,1,"Inoculated","WT",8,3.97197127639976,"WT"
11,6,2,"Exposed","WT",8,5.48860107240309,"WT"
12,6,2,"Inoculated","WT",8,-Inf,"WT"
13,7,3,"Exposed","WT",8,5.89030122994844,"WT"
14,7,3,"Inoculated","WT",8,4.90502448676914,"WT"
15,8,4,"Exposed","WT",8,5.35732215776377,"WT"
16,8,4,"Inoculated","WT",8,4.27300127206374,"WT"
