"GP","Pair","Cage","Status","Strain","Day","RNA","Virus"
1,1,1,"Exposed","M.STOP",2,-Inf,"M.STOP"
2,1,1,"Inoculated","M.STOP",2,6.27300127206374,"M.STOP"
3,2,2,"Exposed","M.STOP",2,-Inf,"M.STOP"
4,2,2,"Inoculated","M.STOP",2,6.50889027896037,"M.STOP"
5,3,3,"Exposed","M.STOP",2,-Inf,"M.STOP"
6,3,3,"Inoculated","M.STOP",2,6.66216735642827,"M.STOP"
7,4,4,"Exposed","M.STOP",2,-Inf,"M.STOP"
8,4,4,"Inoculated","M.STOP",2,5.85114910598629,"M.STOP"
1,1,1,"Exposed","M.STOP",4,-Inf,"M.STOP"
2,1,1,"Inoculated","M.STOP",4,7.01841069405806,"M.STOP"
3,2,2,"Exposed","M.STOP",4,3.97197127639976,"M.STOP"
4,2,2,"Inoculated","M.STOP",4,7.08111574582482,"M.STOP"
5,3,3,"Exposed","M.STOP",4,4.78008575016084,"M.STOP"
6,3,3,"Inoculated","M.STOP",4,5.92621378583908,"M.STOP"
7,4,4,"Exposed","M.STOP",4,-Inf,"M.STOP"
8,4,4,"Inoculated","M.STOP",4,6.54517452770525,"M.STOP"
1,1,1,"Exposed","M.STOP",6,-Inf,"M.STOP"
2,1,1,"Inoculated","M.STOP",6,6.73539926996269,"M.STOP"
3,2,2,"Exposed","M.STOP",6,3.97197127639976,"M.STOP"
4,2,2,"Inoculated","M.STOP",6,4.7501225267834,"M.STOP"
5,3,3,"Exposed","M.STOP",6,-Inf,"M.STOP"
6,3,3,"Inoculated","M.STOP",6,6.00768682866629,"M.STOP"
7,4,4,"Exposed","M.STOP",6,-Inf,"M.STOP"
8,4,4,"Inoculated","M.STOP",6,5.8428765800203,"M.STOP"
1,1,1,"Exposed","M.STOP",8,-Inf,"M.STOP"
2,1,1,"Inoculated","M.STOP",8,-Inf,"M.STOP"
3,2,2,"Exposed","M.STOP",8,-Inf,"M.STOP"
4,2,2,"Inoculated","M.STOP",8,3.97197127639976,"M.STOP"
5,3,3,"Exposed","M.STOP",8,4.1268732363855,"M.STOP"
6,3,3,"Inoculated","M.STOP",8,4.1268732363855,"M.STOP"
7,4,4,"Exposed","M.STOP",8,4.02996322337744,"M.STOP"
8,4,4,"Inoculated","M.STOP",8,-Inf,"M.STOP"
