Rep,Expressing.HA,Reassortant.Percent
Nicolle,76.59,95
Nicolle,71.76,90.47619048
Nicolle,67.08,76.19047619
Nicolle,73.87,95.23809524
Nicolle,77.17,95.23809524
Nicolle,72.6,85.71428571
Nicolle,50.96,77.27272727
Nicolle,51.27,76.19047619
Nicolle,53.83,85.71428571
Nicolle,45.62,66.66666667
Nicolle,42.26,57.14285714
Nicolle,44.16,61.9047619
Nicolle,37.75,80.95238095
Nicolle,31.98,80.95238095
Nicolle,41.23,71.42857143
Nicolle,15.79,57.14285714
Nicolle,15.67,66.66666667
Nicolle,16.18,52.38095238
Nicolle,2.726,38.0952381
Nicolle,3.938,28.57142857
Nicolle,4.192,0
