"Sim","Spread_Frac","Pp","Virus_D","Max_Productive","Max_Virions","Max_Semi"
1,0,0.575,419.4,88,18182,59
1,0,0.575,838.8,130,29643,97
1,0,0.575,1258.2,173,40459,125
1,0,0.575,1677.6,216,48174,155
1,0,0.575,2097,259,60265,183
1,0,0.575,4194,506,113414,335
1,0,0.575,8388,924,215478,576
1,0,0.575,12582,1056,246774,668
1,0,0.575,16776,1198,278146,779
1,0,0.575,20970,1321,302586,845
1,0,0.575,41940,1742,390203,1166
1,0,0.575,83880,2320,491128,1551
1,0,0.575,125820,2683,548246,1904
1,0,0.575,167760,2916,580291,2132
1,0,0.575,209700,3345,628300,2246
1,0,0.575,419400,4002,701911,3252
1,0,0.575,838800,4933,746607,4575
1,0,0.575,1258200,5644,779485,5909
1,0,0.575,1677600,5599,766235,5972
1,0,0.575,2097000,5748,775941,6039
1,0,0.575,4194000,5776,783066,6089
1,0,0.575,8388000,5776,785336,6057
1,0,0.575,12582000,5773,778675,6059
1,0,0.575,16776000,5756,782886,6040
1,0,0.575,20970000,5688,773701,6094
1,0,0.575,2.097e+09,5787,779761,6036
1,0,0.575,2.097e+12,5767,781636,6062
1,0,0.575,2.097e+15,5749,778912,6057
1,0,1,419.4,359,83100,0
1,0,1,838.8,580,132456,0
1,0,1,1258.2,741,176746,0
1,0,1,1677.6,871,209700,0
1,0,1,2097,933,221101,0
1,0,1,4194,1170,279571,0
1,0,1,8388,1651,373216,0
1,0,1,12582,2095,455111,0
1,0,1,16776,2260,490682,0
1,0,1,20970,2513,527537,0
1,0,1,41940,3269,625699,0
1,0,1,83880,3962,694496,0
1,0,1,125820,4606,742671,0
1,0,1,167760,4755,750450,0
1,0,1,209700,5229,779361,0
1,0,1,419400,5919,798489,0
1,0,1,838800,6409,810227,0
1,0,1,1258200,6538,808382,0
1,0,1,1677600,6519,803934,0
1,0,1,2097000,6650,809728,0
1,0,1,4194000,6574,802199,0
1,0,1,8388000,6571,800492,0
1,0,1,12582000,6592,808724,0
1,0,1,16776000,6625,808845,0
1,0,1,20970000,6546,808230,0
1,0,1,2.097e+09,6712,815353,0
1,0,1,2.097e+12,6635,810907,0
1,0,1,2.097e+15,6636,814094,0
1,0.1,0.575,419.4,121,26126,73
1,0.1,0.575,838.8,150,34139,108
1,0.1,0.575,1258.2,179,39974,115
1,0.1,0.575,1677.6,256,58625,157
1,0.1,0.575,2097,280,65397,169
1,0.1,0.575,4194,469,111205,308
1,0.1,0.575,8388,908,208145,544
1,0.1,0.575,12582,1032,240711,616
1,0.1,0.575,16776,1141,270677,717
1,0.1,0.575,20970,1260,290578,794
1,0.1,0.575,41940,1769,386406,1133
1,0.1,0.575,83880,2347,498360,1498
1,0.1,0.575,125820,2620,537709,1811
1,0.1,0.575,167760,2986,583275,2054
1,0.1,0.575,209700,3180,606434,2210
1,0.1,0.575,419400,3895,694811,2890
1,0.1,0.575,838800,5150,768123,4424
1,0.1,0.575,1258200,5205,762399,4624
1,0.1,0.575,1677600,5503,764368,5315
1,0.1,0.575,2097000,5783,781788,5427
1,0.1,0.575,4194000,5929,781174,5687
1,0.1,0.575,8388000,5819,774480,5718
1,0.1,0.575,12582000,5786,780046,5745
1,0.1,0.575,16776000,5853,777675,5944
1,0.1,0.575,20970000,5903,778340,5826
1,0.1,0.575,2.097e+09,5874,783704,5760
1,0.1,0.575,2.097e+12,5868,778557,5854
1,0.1,0.575,2.097e+15,5871,776623,5847
1,0.1,1,419.4,634,144883,0
1,0.1,1,838.8,804,189288,0
1,0.1,1,1258.2,843,201739,0
1,0.1,1,1677.6,951,221290,0
1,0.1,1,2097,1028,245218,0
1,0.1,1,4194,1348,312039,0
1,0.1,1,8388,1793,388703,0
1,0.1,1,12582,2154,453530,0
1,0.1,1,16776,2287,484728,0
1,0.1,1,20970,2491,512103,0
1,0.1,1,41940,3285,619378,0
1,0.1,1,83880,4033,695507,0
1,0.1,1,125820,4628,727714,0
1,0.1,1,167760,4708,751305,0
1,0.1,1,209700,5141,769830,0
1,0.1,1,419400,5935,792560,0
1,0.1,1,838800,6467,805114,0
1,0.1,1,1258200,6644,803427,0
1,0.1,1,1677600,6741,803748,0
1,0.1,1,2097000,6756,803716,0
1,0.1,1,4194000,6790,810500,0
1,0.1,1,8388000,6832,812952,0
1,0.1,1,12582000,6803,813560,0
1,0.1,1,16776000,6833,804178,0
1,0.1,1,20970000,6855,806959,0
1,0.1,1,2.097e+09,6854,809991,0
1,0.1,1,2.097e+12,6815,806097,0
1,0.1,1,2.097e+15,6850,812981,0
1,0.25,0.575,419.4,193,40122,101
1,0.25,0.575,838.8,218,49551,105
1,0.25,0.575,1258.2,252,57348,127
1,0.25,0.575,1677.6,282,66387,152
1,0.25,0.575,2097,309,73541,164
1,0.25,0.575,4194,519,115605,274
1,0.25,0.575,8388,860,204664,504
1,0.25,0.575,12582,1056,242945,594
1,0.25,0.575,16776,1166,271433,674
1,0.25,0.575,20970,1247,289232,776
1,0.25,0.575,41940,1689,369465,1032
1,0.25,0.575,83880,2241,465321,1438
1,0.25,0.575,125820,2579,522671,1693
1,0.25,0.575,167760,2847,557881,1954
1,0.25,0.575,209700,3096,599519,2061
1,0.25,0.575,419400,3878,682434,2713
1,0.25,0.575,838800,4722,738541,3484
1,0.25,0.575,1258200,5296,757874,4443
1,0.25,0.575,1677600,5482,763110,4622
1,0.25,0.575,2097000,5640,776028,4878
1,0.25,0.575,4194000,5836,774650,5177
1,0.25,0.575,8388000,5852,779484,5442
1,0.25,0.575,12582000,5934,778951,5444
1,0.25,0.575,16776000,5899,774560,5421
1,0.25,0.575,20970000,5945,775866,5399
1,0.25,0.575,2.097e+09,5958,781960,5402
1,0.25,0.575,2.097e+12,5875,781037,5372
1,0.25,0.575,2.097e+15,5870,772134,5352
1,0.25,1,419.4,850,206124,0
1,0.25,1,838.8,916,215011,0
1,0.25,1,1258.2,1027,241163,0
1,0.25,1,1677.6,1060,243848,0
1,0.25,1,2097,1062,248393,0
1,0.25,1,4194,1354,311114,0
1,0.25,1,8388,1886,416466,0
1,0.25,1,12582,2109,457405,0
1,0.25,1,16776,2482,514171,0
1,0.25,1,20970,2478,512353,0
1,0.25,1,41940,3158,616140,0
1,0.25,1,83880,4000,689784,0
1,0.25,1,125820,4490,725344,0
1,0.25,1,167760,5004,750333,0
1,0.25,1,209700,5067,755639,0
1,0.25,1,419400,5758,782349,0
1,0.25,1,838800,6435,805195,0
1,0.25,1,1258200,6627,795969,0
1,0.25,1,1677600,6738,802003,0
1,0.25,1,2097000,6836,811779,0
1,0.25,1,4194000,6874,799613,0
1,0.25,1,8388000,6955,804826,0
1,0.25,1,12582000,6992,809395,0
1,0.25,1,16776000,6911,800676,0
1,0.25,1,20970000,6930,813104,0
1,0.25,1,2.097e+09,6995,808901,0
1,0.25,1,2.097e+12,6926,809771,0
1,0.25,1,2.097e+15,7005,801421,0
1,0.5,0.575,419.4,326,72291,115
1,0.5,0.575,838.8,328,75587,122
1,0.5,0.575,1258.2,385,84378,130
1,0.5,0.575,1677.6,434,95916,152
1,0.5,0.575,2097,438,99191,160
1,0.5,0.575,4194,570,128170,254
1,0.5,0.575,8388,822,186007,426
1,0.5,0.575,12582,970,220965,488
1,0.5,0.575,16776,1070,243298,599
1,0.5,0.575,20970,1284,281626,630
1,0.5,0.575,41940,1616,356795,934
1,0.5,0.575,83880,2118,442187,1338
1,0.5,0.575,125820,2472,505599,1502
1,0.5,0.575,167760,2813,543890,1859
1,0.5,0.575,209700,3006,581471,1981
1,0.5,0.575,419400,3611,650596,2508
1,0.5,0.575,838800,4491,717498,3271
1,0.5,0.575,1258200,4909,730499,3709
1,0.5,0.575,1677600,5192,755752,4106
1,0.5,0.575,2097000,5404,752985,4399
1,0.5,0.575,4194000,5673,762334,4691
1,0.5,0.575,8388000,5859,772141,4716
1,0.5,0.575,12582000,5745,762645,4790
1,0.5,0.575,16776000,5800,771672,4919
1,0.5,0.575,20970000,5743,763499,4831
1,0.5,0.575,2.097e+09,5814,766694,4787
1,0.5,0.575,2.097e+12,5945,779734,4907
1,0.5,0.575,2.097e+15,5854,771784,4812
1,0.5,1,419.4,1142,263528,0
1,0.5,1,838.8,1143,263749,0
1,0.5,1,1258.2,1220,278640,0
1,0.5,1,1677.6,1207,274444,0
1,0.5,1,2097,1294,290250,0
1,0.5,1,4194,1446,317142,0
1,0.5,1,8388,1637,369126,0
1,0.5,1,12582,2179,454529,0
1,0.5,1,16776,2199,469852,0
1,0.5,1,20970,2540,502890,0
1,0.5,1,41940,3137,592448,0
1,0.5,1,83880,4030,685001,0
1,0.5,1,125820,4535,731186,0
1,0.5,1,167760,4756,736279,0
1,0.5,1,209700,4886,741940,0
1,0.5,1,419400,5730,779522,0
1,0.5,1,838800,6229,779811,0
1,0.5,1,1258200,6599,802723,0
1,0.5,1,1677600,6621,793292,0
1,0.5,1,2097000,6755,791658,0
1,0.5,1,4194000,6946,808699,0
1,0.5,1,8388000,7049,805957,0
