Time,MOI,Rep_1,Rep_2,Rep_3
3,1,1.70E+03,1.30E+03,1.00E+03
4.5,1,1.10E+03,5.00E+01,1.50E+02
6,1,5.00E+01,2.00E+02,2.50E+02
8,1,1.00E+02,2.00E+02,1.50E+02
12,1,2.05E+03,2.25E+03,4.00E+03
16,1,1.50E+05,1.65E+05,1.90E+05
24,1,1.30E+06,1.30E+06,1.08E+06
48,1,1.75E+06,1.70E+06,2.00E+06
3,3,3.15E+03,4.70E+03,3.70E+03
4.5,3,3.00E+02,1.50E+02,3.00E+02
6,3,1.00E+02,8.50E+02,2.50E+02
8,3,1.50E+02,5.50E+02,
12,3,2.55E+04,1.75E+04,3.60E+04
16,3,4.80E+05,6.15E+05,7.50E+05
24,3,2.50E+06,2.90E+06,2.55E+06
48,3,3.30E+06,3.75E+06,3.50E+06
3,6,1.35E+04,1.25E+04,1.25E+04
4.5,6,4.00E+02,3.00E+02,7.50E+02
6,6,3.50E+02,8.00E+02,8.00E+02
8,6,2.50E+02,9.50E+02,1.30E+03
12,6,1.00E+05,1.05E+05,1.25E+05
16,6,1.45E+06,1.05E+06,7.50E+05
24,6,3.35E+06,3.75E+06,3.35E+06
48,6,3.75E+06,3.35E+06,4.20E+06
3,10,1.60E+04,1.50E+04,1.45E+04
4.5,10,1.00E+03,1.25E+03,9.00E+02
6,10,7.50E+02,1.65E+03,1.65E+03
8,10,7.50E+02,1.65E+03,2.10E+03
12,10,1.75E+05,1.85E+05,2.05E+05
16,10,1.20E+06,1.80E+06,9.50E+05
24,10,2.75E+06,3.70E+06,2.10E+06
48,10,3.45E+06,3.70E+06,3.40E+06
3,20,3.10E+04,4.30E+04,7.50E+04
4.5,20,1.80E+03,2.65E+03,2.25E+03
6,20,2.15E+03,2.90E+03,4.90E+03
8,20,3.00E+03,3.45E+03,5.00E+03
12,20,5.00E+05,4.60E+05,6.65E+05
16,20,2.15E+06,2.20E+06,1.20E+06
24,20,2.85E+06,3.45E+06,2.85E+06
48,20,2.50E+06,4.00E+06,4.80E+06
