MOI,Both,HA,His,Neg,WT_HA
0,0,0,1.57,98.4,1.57
0,0,0,1.35,98.7,1.35
0,0,0.013,1.51,98.5,1.51
0.1,2.02,34.2,0.93,62.8,2.95
0.1,0.92,24.3,1.01,73.8,1.93
0.1,1.22,28.4,0.9,69.5,2.12
0.3,3.07,72.2,0.3,24.4,3.37
0.3,2.89,71.4,0.14,25.5,3.03
0.3,3.26,72.1,0.29,24.4,3.55
0.6,2.46,79.1,0.17,18.3,2.63
0.6,2.38,80.2,0.13,17.3,2.51
0.6,2.16,81.2,0.15,16.5,2.31
1,2.41,84.2,0.07,13.3,2.48
1,1.98,83.4,0.067,14.5,2.047
1,2.37,84.8,0.099,12.7,2.469
3,2.35,90.7,0.041,6.89,2.391
3,2.13,87.8,0.037,10,2.167
3,1.39,88.2,0,10.4,1.39
6,1.8,91,0.075,7.14,1.875
6,1.27,90.9,0,7.85,1.27
6,1.48,92.6,0.057,5.82,1.537
10,0.83,94.6,0,4.57,0.83
10,1.11,93.8,0.05,4.99,1.16
10,0.42,96.8,0,2.8,0.42
