WT_MOI,var_MOI,Spread,Neg,His,HA,Both
0.2,0,0,63.4,36.5,0.12,0.015
0.2,0,0,75,24.9,0.079,0
0.2,0,0,67.4,32.6,0.044,0.015
0.6,0,0,16.7,83.2,0.035,0.018
0.6,0,0,26.9,72.9,0.14,0.035
0.6,0,0,20,79.9,0.074,0.037
1.2,0,0,9.23,90.6,0.098,0.059
1.2,0,0,11.3,88.6,0.13,0.043
1.2,0,0,8.56,91.3,0.039,0.058
2,0,0,7.17,92.6,0.12,0.1
2,0,0,8.04,91.7,0.18,0.061
2,0,0,5.73,94.1,0.038,0.095
0.2,0.3,0,31.1,5.42,23.9,39.6
0.2,0.3,0,25.1,4.08,23.6,47.2
0.2,0.3,0,21.5,4.85,25,48.6
0.6,0.3,0,18.8,16.6,5.2,59.4
0.6,0.3,0,18.1,14.8,5.36,61.8
0.6,0.3,0,12.3,14.7,4.63,68.3
1.2,0.3,0,14.9,33.7,1.5,49.9
1.2,0.3,0,15.6,30.7,1.27,52.4
1.2,0.3,0,10.8,32.9,1.11,55.2
2,0.3,0,13.7,44.2,0.55,41.5
2,0.3,0,14.9,44.6,0.5,40
2,0.3,0,9.55,42.3,0.74,47.4
0.002,0,0,99.5,0.42,0.11,0.018
0.002,0,0,99.4,0.44,0.11,0.018
0.002,0,0,99.4,0.51,0.093,7.74E-03
0.002,0,1,71.8,28.2,0,9.51E-03
0.002,0,1,80.2,19.8,0,4.71E-03
0.002,0,1,75.4,24.6,0,0
0.002,0.3,1,18.2,5.77,43,33
0.002,0.3,1,20.6,6.43,41.9,31.1
0.002,0.3,1,20.5,6.91,41.2,31.5
0.01,0,0,98.1,1.67,0.17,0.017
0.01,0,0,98.3,1.56,0.12,8.25E-03
0.01,0,0,98.4,1.37,0.18,0.05
0.01,0,1,8.33,91.7,0,8.11E-03
0.01,0,1,12.9,87.1,0,0.012
0.01,0,1,13.5,86.5,0,0
0.01,0.3,1,4.95,31.9,2.63,60.5
0.01,0.3,1,6.52,34.5,3.2,55.8
0.01,0.3,1,5.91,33.3,3.05,57.8
0,0.3,0,35.5,0.21,63.9,0.33
0,0.3,0,32.9,0.17,66.8,0.13
0,0.3,0,31.3,0.1,68.4,0.14
