GP,Dose_Group,1,2,3,5,7
1,6,49,49,49,49,
2,6,49,49,49,49,
3,6,49,1.30E+05,1.40E+05,2.20E+04,
4,6,49,49,49,49,
5,5,49,49,49,49,
6,5,49,2.50E+02,5.00E+02,2.60E+04,
7,5,49,1.95E+03,3.40E+05,3.75E+05,
8,5,49,49,4.90E+01,4.90E+01,
9,4,49,4.50E+03,1.10E+03,5.50E+04,1.10E+03
10,4,49,1.00E+03,5.00E+05,1.60E+05,3.50E+02
11,4,5.50E+02,1.40E+06,2.80E+06,1.00E+03,4.90E+01
12,4,49,1.22E+06,3.50E+06,1.10E+04,4.90E+01
13,1,1.80E+05,1.00E+06,4.50E+03,5.00E+01,4.90E+01
14,1,5.10E+05,1.44E+06,1.50E+04,5.00E+01,4.90E+01
15,1,7.00E+05,3.50E+06,6.50E+04,4.90E+01,4.90E+01
16,1,2.10E+05,6.00E+06,8.00E+04,5.00E+01,4.90E+01
