Dilution,Single M,HAgM,HAgM1,HAgM2,HAgSingle,HAgNeg,M1gM2,M2gM1
0,28.8,97.2,96.7,99.8,90.2,43.9,77.8,89.3
0,35.6,95.6,94.1,100,87.5,41.3,72.5,85.3
0,30.4,99.5,99.4,99.5,99.7,86.6,77.2,87.7
0.5,53.1,98.3,98.5,99.1,96.8,66.3,58.3,70.6
0.5,49,94.8,92.7,99,91,60.5,64.5,70.9
0.5,52.1,98.4,98,99.1,96.5,69,60.9,69.2
1,65.6,96.9,95.4,99.2,95.3,56.9,42.4,64.4
1,69.2,94.8,94.5,96.2,93.5,52.6,41.8,53.9
1,69.3,95.8,96.3,96.6,93.9,56.5,41.2,54.5
1.5,82.8,91.8,91.1,93.1,90.1,25,24.1,37.5
1.5,80.6,87.9,84.1,90.6,88,24.8,28.2,38.1
1.5,79.2,89.4,89.9,90.7,88,27.8,31.3,38.3
2,80,80,88.9,80,75,16.8,26.7,44.4
2,100,76.5,71.4,80,76.5,12.5,0,0
2,90.2,75.6,64.3,83.9,73,15.6,12.9,28.6
