Dilution,M1_XOR_M2_HA,M1_XOR_M2,M1_M2,HA_Both,HA_M1,HA_M2,HA_Neg,M1,M2,Neg,M1_AND_M2_HA
0,90.2,15.4,38,51.3,4.47,15.2,29,4.54,10.8,46.7,95.1
0,87.5,16.5,29.9,43.2,4.8,17.6,34.4,5.15,11.3,53.6,93.1
0,99.7,18.6,42.6,43.3,6.52,13.7,36.6,5.99,12.6,38.8,93.3
0.5,96.8,19.1,16.9,21.4,8.57,15.2,54.8,7.02,12.1,64,98.5
0.5,91,14.2,14.7,20.1,6.8,11.6,61.5,6.03,8.12,71.1,95.3
0.5,96.5,18,16.5,20.2,8.79,13.3,57.7,7.36,10.6,65.5,95.7
1,95.3,10.5,5.48,8.66,4.17,11.6,75.6,3.03,7.44,84.1,100
1,93.5,10.5,4.66,7.73,6.13,10.5,75.6,3.98,6.49,84.9,97.8
1,93.9,11.7,5.16,7.97,6.29,11.1,74.6,4.31,7.35,83.2,97.3
1.5,90.1,4.36,0.91,3.03,4.55,9.26,83.2,1.51,2.85,94.7,95.2
1.5,88,4.49,1.08,3.33,5.08,8.89,82.7,1.75,2.74,94.4,87.5
1.5,88,3.88,1.02,3.13,4.64,6.43,85.8,1.64,2.23,95.1,94.7
2,75,1.65,0.41,2.29,2.29,4.57,90.9,0.52,1.14,97.9,100
2,76.5,1.84,0,0,3.97,6.35,89.7,0.76,1.08,98.2,0
2,73,1.94,0.21,1.25,1.56,6.85,90.3,0.53,1.42,97.8,100
