GP,Day,Dose,RNA_Conc
1,1,Low,6
2,1,Low,1.4
3,1,Low,7.3
4,1,Low,4.5
5,1,High,149
6,1,High,63.9
7,1,High,232
8,1,High,221
1,2,Low,184
2,2,Low,1965
3,2,Low,304
4,2,Low,829
5,2,High,162
6,2,High,647
7,2,High,781
8,2,High,440
1,3,Low,765
2,3,Low,339
3,3,Low,1129
4,3,Low,535
5,3,High,76.2
6,3,High,413
7,3,High,668
8,3,High,168
1,5,Low,2.3
2,5,Low,0.9
3,5,Low,1.9
4,5,Low,8.5
5,5,High,4.2
6,5,High,1.9
7,5,High,1
8,5,High,1.1
1,7,Low,0.54
2,7,Low,0.07
3,7,Low,0
4,7,Low,0
5,7,High,0.53
6,7,High,0.25
7,7,High,0
8,7,High,0.14
9,0,Neg,0.08
