Sort.Num,Expt,Delay,Cell.ID,Cell.Type,PB2,PB1,PA,HA,NP,NA,M,NS,Help.PB2,Help.PB1
Nina.1,NOO1,0,1,Neg,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,2,Neg,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,3,Neg,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,4,Neg,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,5,Neg,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,6,Neg,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,7,Neg,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,8,Neg,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,9,Neg,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,10,Neg,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,11,Neg,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,12,Neg,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,13,Test,1,1,1,1,1,1,1,1,1,1
Nina.1,NOO1,0,14,Test,0,0,0,0,0,0,0,0,1,1
Nina.1,NOO1,0,15,Test,0,0,0,0,0,0,0,0,1,1
Nina.1,NOO1,0,16,Test,0,0,1,0,0,0,0,0,1,1
Nina.1,NOO1,0,17,Test,0,0,0,0,0,0,0,0,1,1
Nina.1,NOO1,0,18,Test,1,1,0,1,1,0,1,1,1,1
Nina.1,NOO1,0,19,Test,0,0,0,0,0,0,0,0,1,1
Nina.1,NOO1,0,20,Test,1,1,1,1,1,1,1,1,1,1
Nina.1,NOO1,0,21,Test,1,1,1,1,1,1,1,1,1,1
Nina.1,NOO1,0,22,Test,1,1,0,1,1,1,1,1,1,1
Nina.1,NOO1,0,23,Test,1,0,0,1,1,1,1,1,1,1
Nina.1,NOO1,0,24,Test,1,1,1,1,0,1,1,1,1,1
Nina.1,NOO1,0,25,Test,0,0,0,1,1,1,1,0,1,1
Nina.1,NOO1,0,26,Test,0,0,0,1,0,1,0,0,1,1
Nina.1,NOO1,0,27,Test,0,0,1,1,1,1,1,0,1,1
Nina.1,NOO1,0,28,Test,0,0,0,0,0,0,0,0,1,1
Nina.1,NOO1,0,29,Test,0,0,0,0,0,0,0,0,1,1
Nina.1,NOO1,0,30,Test,0,0,0,0,0,0,0,0,1,1
Nina.1,NOO1,0,31,Test,1,0,0,1,1,1,1,1,1,1
Nina.1,NOO1,0,32,Test,1,1,0,1,1,1,1,0,1,1
Nina.1,NOO1,0,33,Test,0,0,0,0,0,0,0,0,1,1
Nina.1,NOO1,0,34,Test,1,1,1,1,1,1,1,0,1,1
Nina.1,NOO1,0,35,Test,1,1,1,1,1,1,1,1,1,1
Nina.1,NOO1,0,36,Test,0,1,1,0,0,1,0,1,1,1
Nina.1,NOO1,0,37,Test,0,0,0,0,0,0,0,0,1,1
Nina.1,NOO1,0,38,Test,1,1,1,1,1,1,1,1,1,1
Nina.1,NOO1,0,39,Test,0,0,0,0,0,0,0,0,1,1
Nina.1,NOO1,0,40,Test,0,0,0,0,0,0,0,0,1,1
Nina.1,NOO1,0,41,Test,0,0,0,0,0,0,0,0,1,1
Nina.1,NOO1,0,42,Test,0,0,0,0,0,0,0,0,1,1
Nina.1,NOO1,0,43,Test,0,0,0,1,1,1,1,1,1,1
Nina.1,NOO1,0,44,Test,0,0,0,0,0,0,1,0,1,1
Nina.1,NOO1,0,45,Test,0,0,0,0,0,0,0,0,1,1
Nina.1,NOO1,0,46,Test,1,0,0,1,1,1,0,1,1,1
Nina.1,NOO1,0,47,Test,1,1,0,1,1,1,1,1,1,1
Nina.1,NOO1,0,48,Test,1,0,0,1,1,1,1,1,1,1
Nina.1,NOO1,0,49,Test,1,1,1,1,0,1,1,0,1,1
Nina.1,NOO1,0,50,Test,1,1,1,0,1,1,1,1,1,1
Nina.1,NOO1,0,51,Test,0,0,0,0,0,0,0,0,1,1
Nina.1,NOO1,0,52,Test,0,0,0,0,0,0,0,0,1,1
Nina.1,NOO1,0,53,Test,1,0,1,1,0,1,1,1,1,1
Nina.1,NOO1,0,54,Test,1,1,0,0,0,1,0,1,1,1
Nina.1,NOO1,0,55,Test,1,1,1,1,1,1,1,1,1,1
Nina.1,NOO1,0,56,Test,1,1,1,1,1,1,1,0,1,1
Nina.1,NOO1,0,57,Test,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,58,Test,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,59,Test,0,1,1,1,1,0,1,1,1,1
Nina.1,NOO1,0,60,Test,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,61,Test,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,62,Test,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,63,Test,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,64,Test,1,0,0,1,1,1,1,1,1,1
Nina.1,NOO1,0,65,Test,0,0,1,1,1,1,1,1,1,1
Nina.1,NOO1,0,66,Test,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,67,Test,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,68,Test,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,69,Test,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,70,Test,1,1,1,1,1,1,1,1,1,1
Nina.1,NOO1,0,71,Test,1,0,0,0,0,0,1,0,1,1
Nina.1,NOO1,0,72,Test,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,73,Test,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,74,Test,0,0,0,0,0,0,1,0,1,1
Nina.1,NOO1,0,75,Test,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,76,Test,0,0,0,0,0,0,0,0,0,0
Nina.1,NOO1,0,77,Test,1,1,1,1,1,1,1,1,1,1
