"t","Pp","Virus_D","Productive"
1,1,0.0663259253620378,2
2,1,0.0663259253620378,5
3,1,0.0663259253620378,3
4,1,0.0663259253620378,10
5,1,0.0663259253620378,14
6,1,0.0663259253620378,23
7,1,0.0663259253620378,31
8,1,0.0663259253620378,42
9,1,0.0663259253620378,60
10,1,0.0663259253620378,65
11,1,0.0663259253620378,87
12,1,0.0663259253620378,103
13,1,0.0663259253620378,132
14,1,0.0663259253620378,150
15,1,0.0663259253620378,175
16,1,0.0663259253620378,223
17,1,0.0663259253620378,230
18,1,0.0663259253620378,244
19,1,0.0663259253620378,263
20,1,0.0663259253620378,284
21,1,0.0663259253620378,315
22,1,0.0663259253620378,341
23,1,0.0663259253620378,375
24,1,0.0663259253620378,415
25,1,0.0663259253620378,428
26,1,0.0663259253620378,446
27,1,0.0663259253620378,467
28,1,0.0663259253620378,477
29,1,0.0663259253620378,517
30,1,0.0663259253620378,561
31,1,0.0663259253620378,577
32,1,0.0663259253620378,605
33,1,0.0663259253620378,622
34,1,0.0663259253620378,647
35,1,0.0663259253620378,671
36,1,0.0663259253620378,711
37,1,0.0663259253620378,736
38,1,0.0663259253620378,749
39,1,0.0663259253620378,772
40,1,0.0663259253620378,786
41,1,0.0663259253620378,800
42,1,0.0663259253620378,824
43,1,0.0663259253620378,866
44,1,0.0663259253620378,881
45,1,0.0663259253620378,912
46,1,0.0663259253620378,910
47,1,0.0663259253620378,946
48,1,0.0663259253620378,971
49,1,0.0663259253620378,985
50,1,0.0663259253620378,1006
51,1,0.0663259253620378,1046
52,1,0.0663259253620378,1067
53,1,0.0663259253620378,1080
54,1,0.0663259253620378,1082
55,1,0.0663259253620378,1118
56,1,0.0663259253620378,1150
57,1,0.0663259253620378,1149
58,1,0.0663259253620378,1161
59,1,0.0663259253620378,1157
60,1,0.0663259253620378,1165
61,1,0.0663259253620378,1124
62,1,0.0663259253620378,1072
63,1,0.0663259253620378,1026
64,1,0.0663259253620378,1001
65,1,0.0663259253620378,943
66,1,0.0663259253620378,851
67,1,0.0663259253620378,804
68,1,0.0663259253620378,762
