"t","Pp","Virus_D","Virions"
1,1,0.0663259253620378,41
2,1,0.0663259253620378,170
3,1,0.0663259253620378,318
4,1,0.0663259253620378,472
5,1,0.0663259253620378,934
6,1,0.0663259253620378,1441
7,1,0.0663259253620378,2197
8,1,0.0663259253620378,3291
9,1,0.0663259253620378,4599
10,1,0.0663259253620378,6245
11,1,0.0663259253620378,8184
12,1,0.0663259253620378,10682
13,1,0.0663259253620378,13642
14,1,0.0663259253620378,17067
15,1,0.0663259253620378,20856
16,1,0.0663259253620378,25116
17,1,0.0663259253620378,29927
18,1,0.0663259253620378,34437
19,1,0.0663259253620378,38804
20,1,0.0663259253620378,43385
21,1,0.0663259253620378,48241
22,1,0.0663259253620378,53778
23,1,0.0663259253620378,59482
24,1,0.0663259253620378,65901
25,1,0.0663259253620378,72325
26,1,0.0663259253620378,78042
27,1,0.0663259253620378,84187
28,1,0.0663259253620378,89526
29,1,0.0663259253620378,95047
30,1,0.0663259253620378,101678
31,1,0.0663259253620378,108013
32,1,0.0663259253620378,114324
33,1,0.0663259253620378,120979
34,1,0.0663259253620378,127158
35,1,0.0663259253620378,133449
36,1,0.0663259253620378,139860
37,1,0.0663259253620378,146815
38,1,0.0663259253620378,153342
39,1,0.0663259253620378,159442
40,1,0.0663259253620378,165495
41,1,0.0663259253620378,171232
42,1,0.0663259253620378,177271
43,1,0.0663259253620378,182991
44,1,0.0663259253620378,189877
45,1,0.0663259253620378,195907
46,1,0.0663259253620378,201225
47,1,0.0663259253620378,206938
48,1,0.0663259253620378,213077
49,1,0.0663259253620378,218434
50,1,0.0663259253620378,223773
51,1,0.0663259253620378,229997
52,1,0.0663259253620378,236007
53,1,0.0663259253620378,241458
54,1,0.0663259253620378,246658
55,1,0.0663259253620378,252196
56,1,0.0663259253620378,257571
57,1,0.0663259253620378,263271
58,1,0.0663259253620378,267892
59,1,0.0663259253620378,271827
60,1,0.0663259253620378,275648
61,1,0.0663259253620378,278607
62,1,0.0663259253620378,279103
63,1,0.0663259253620378,277657
64,1,0.0663259253620378,275061
65,1,0.0663259253620378,271333
66,1,0.0663259253620378,265629
67,1,0.0663259253620378,257976
68,1,0.0663259253620378,249763
69,1,0.0663259253620378,241020
70,1,0.0663259253620378,231930
71,1,0.0663259253620378,222742
72,1,0.0663259253620378,213433
73,1,0.0663259253620378,203687
74,1,0.0663259253620378,194865
75,1,0.0663259253620378,185513
76,1,0.0663259253620378,175092
77,1,0.0663259253620378,164774
78,1,0.0663259253620378,153860
79,1,0.0663259253620378,143358
80,1,0.0663259253620378,132821
81,1,0.0663259253620378,122537
82,1,0.0663259253620378,112054
83,1,0.0663259253620378,101503
84,1,0.0663259253620378,91932
85,1,0.0663259253620378,82595
86,1,0.0663259253620378,74253
87,1,0.0663259253620378,66294
88,1,0.0663259253620378,58857
89,1,0.0663259253620378,52211
90,1,0.0663259253620378,46420
91,1,0.0663259253620378,41149
92,1,0.0663259253620378,36236
93,1,0.0663259253620378,31862
94,1,0.0663259253620378,27929
95,1,0.0663259253620378,24518
96,1,0.0663259253620378,21383
1,1,-0.933674074637962,39
2,1,-0.933674074637962,83
3,1,-0.933674074637962,134
4,1,-0.933674074637962,279
5,1,-0.933674074637962,573
6,1,-0.933674074637962,864
7,1,-0.933674074637962,1198
8,1,-0.933674074637962,1580
9,1,-0.933674074637962,2003
10,1,-0.933674074637962,2612
11,1,-0.933674074637962,3221
12,1,-0.933674074637962,3929
13,1,-0.933674074637962,4583
14,1,-0.933674074637962,5303
15,1,-0.933674074637962,5998
16,1,-0.933674074637962,6738
17,1,-0.933674074637962,7428
18,1,-0.933674074637962,8211
19,1,-0.933674074637962,9001
20,1,-0.933674074637962,9822
21,1,-0.933674074637962,10731
22,1,-0.933674074637962,11626
23,1,-0.933674074637962,12302
24,1,-0.933674074637962,12997
25,1,-0.933674074637962,13894
26,1,-0.933674074637962,14917
27,1,-0.933674074637962,15937
28,1,-0.933674074637962,16902
29,1,-0.933674074637962,17937
30,1,-0.933674074637962,18869
31,1,-0.933674074637962,19984
32,1,-0.933674074637962,20953
33,1,-0.933674074637962,21678
34,1,-0.933674074637962,22259
35,1,-0.933674074637962,22591
36,1,-0.933674074637962,23388
37,1,-0.933674074637962,24153
38,1,-0.933674074637962,24912
39,1,-0.933674074637962,25820
40,1,-0.933674074637962,26517
41,1,-0.933674074637962,27295
42,1,-0.933674074637962,28274
43,1,-0.933674074637962,29341
44,1,-0.933674074637962,30190
45,1,-0.933674074637962,31464
46,1,-0.933674074637962,32741
47,1,-0.933674074637962,33932
48,1,-0.933674074637962,35124
49,1,-0.933674074637962,36242
50,1,-0.933674074637962,37291
51,1,-0.933674074637962,37962
52,1,-0.933674074637962,38650
53,1,-0.933674074637962,39625
54,1,-0.933674074637962,40779
55,1,-0.933674074637962,41305
56,1,-0.933674074637962,41979
57,1,-0.933674074637962,43208
58,1,-0.933674074637962,44609
59,1,-0.933674074637962,46170
60,1,-0.933674074637962,47383
61,1,-0.933674074637962,48304
62,1,-0.933674074637962,49432
63,1,-0.933674074637962,50916
64,1,-0.933674074637962,51976
65,1,-0.933674074637962,52614
66,1,-0.933674074637962,52985
67,1,-0.933674074637962,53450
68,1,-0.933674074637962,54224
69,1,-0.933674074637962,55026
70,1,-0.933674074637962,55778
71,1,-0.933674074637962,56981
72,1,-0.933674074637962,58517
73,1,-0.933674074637962,59443
74,1,-0.933674074637962,60122
75,1,-0.933674074637962,60530
76,1,-0.933674074637962,60813
77,1,-0.933674074637962,61616
78,1,-0.933674074637962,61961
79,1,-0.933674074637962,63392
80,1,-0.933674074637962,64141
81,1,-0.933674074637962,64344
82,1,-0.933674074637962,64397
83,1,-0.933674074637962,64796
84,1,-0.933674074637962,65620
85,1,-0.933674074637962,67261
86,1,-0.933674074637962,68139
87,1,-0.933674074637962,69281
88,1,-0.933674074637962,70406
89,1,-0.933674074637962,72222
90,1,-0.933674074637962,74166
91,1,-0.933674074637962,76120
92,1,-0.933674074637962,78029
93,1,-0.933674074637962,79475
94,1,-0.933674074637962,81265
95,1,-0.933674074637962,82000
96,1,-0.933674074637962,83100
1,1,1.06632592536204,41
2,1,1.06632592536204,166
3,1,1.06632592536204,429
4,1,1.06632592536204,1003
5,1,1.06632592536204,2338
6,1,1.06632592536204,5261
7,1,1.06632592536204,10490
8,1,1.06632592536204,18997
9,1,1.06632592536204,30609
10,1,1.06632592536204,46747
11,1,1.06632592536204,66816
12,1,1.06632592536204,91056
13,1,1.06632592536204,119588
14,1,1.06632592536204,149981
15,1,1.06632592536204,184270
16,1,1.06632592536204,224864
17,1,1.06632592536204,270382
18,1,1.06632592536204,318323
19,1,1.06632592536204,370545
20,1,1.06632592536204,425975
21,1,1.06632592536204,481897
22,1,1.06632592536204,533535
23,1,1.06632592536204,575892
24,1,1.06632592536204,605499
25,1,1.06632592536204,622750
26,1,1.06632592536204,624862
27,1,1.06632592536204,614176
28,1,1.06632592536204,591372
29,1,1.06632592536204,560732
30,1,1.06632592536204,525060
31,1,1.06632592536204,486021
32,1,1.06632592536204,445255
33,1,1.06632592536204,404813
34,1,1.06632592536204,365527
35,1,1.06632592536204,328330
36,1,1.06632592536204,293514
37,1,1.06632592536204,260951
38,1,1.06632592536204,231481
39,1,1.06632592536204,204657
40,1,1.06632592536204,180051
41,1,1.06632592536204,158061
42,1,1.06632592536204,138345
43,1,1.06632592536204,120866
44,1,1.06632592536204,105579
45,1,1.06632592536204,91823
46,1,1.06632592536204,79759
47,1,1.06632592536204,69374
48,1,1.06632592536204,60178
49,1,1.06632592536204,52320
50,1,1.06632592536204,45313
51,1,1.06632592536204,39414
52,1,1.06632592536204,34127
53,1,1.06632592536204,29445
54,1,1.06632592536204,25466
55,1,1.06632592536204,22035
56,1,1.06632592536204,19155
57,1,1.06632592536204,16507
58,1,1.06632592536204,14316
59,1,1.06632592536204,12335
60,1,1.06632592536204,10782
61,1,1.06632592536204,9489
62,1,1.06632592536204,8266
63,1,1.06632592536204,7183
64,1,1.06632592536204,6228
65,1,1.06632592536204,5338
66,1,1.06632592536204,4649
67,1,1.06632592536204,4039
68,1,1.06632592536204,3505
69,1,1.06632592536204,3025
70,1,1.06632592536204,2598
71,1,1.06632592536204,2253
72,1,1.06632592536204,1972
73,1,1.06632592536204,1702
74,1,1.06632592536204,1510
75,1,1.06632592536204,1347
76,1,1.06632592536204,1183
77,1,1.06632592536204,1046
78,1,1.06632592536204,940
79,1,1.06632592536204,829
80,1,1.06632592536204,749
81,1,1.06632592536204,668
82,1,1.06632592536204,605
83,1,1.06632592536204,572
84,1,1.06632592536204,526
85,1,1.06632592536204,482
86,1,1.06632592536204,458
87,1,1.06632592536204,431
88,1,1.06632592536204,415
89,1,1.06632592536204,381
90,1,1.06632592536204,379
91,1,1.06632592536204,372
92,1,1.06632592536204,348
93,1,1.06632592536204,346
94,1,1.06632592536204,349
95,1,1.06632592536204,326
96,1,1.06632592536204,315
1,1,2.06632592536204,41
2,1,2.06632592536204,166
3,1,2.06632592536204,465
4,1,2.06632592536204,1123
5,1,2.06632592536204,3116
6,1,2.06632592536204,8203
7,1,2.06632592536204,19988
8,1,2.06632592536204,47224
9,1,2.06632592536204,102002
10,1,2.06632592536204,195088
11,1,2.06632592536204,332447
12,1,2.06632592536204,493703
13,1,2.06632592536204,637928
14,1,2.06632592536204,734886
15,1,2.06632592536204,785559
16,1,2.06632592536204,798435
17,1,2.06632592536204,785316
18,1,2.06632592536204,752768
19,1,2.06632592536204,710214
20,1,2.06632592536204,661343
21,1,2.06632592536204,609885
