"t","Pp","Virus_D","Productive"
1,0.575,0.0663259253620378,1
2,0.575,0.0663259253620378,1
3,0.575,0.0663259253620378,2
4,0.575,0.0663259253620378,2
5,0.575,0.0663259253620378,4
6,0.575,0.0663259253620378,5
7,0.575,0.0663259253620378,4
8,0.575,0.0663259253620378,3
9,0.575,0.0663259253620378,5
10,0.575,0.0663259253620378,6
11,0.575,0.0663259253620378,8
12,0.575,0.0663259253620378,15
13,0.575,0.0663259253620378,18
14,0.575,0.0663259253620378,20
15,0.575,0.0663259253620378,26
16,0.575,0.0663259253620378,24
17,0.575,0.0663259253620378,32
18,0.575,0.0663259253620378,38
19,0.575,0.0663259253620378,46
20,0.575,0.0663259253620378,53
21,0.575,0.0663259253620378,66
22,0.575,0.0663259253620378,62
23,0.575,0.0663259253620378,66
24,0.575,0.0663259253620378,68
25,0.575,0.0663259253620378,70
26,0.575,0.0663259253620378,83
27,0.575,0.0663259253620378,92
28,0.575,0.0663259253620378,99
29,0.575,0.0663259253620378,105
30,0.575,0.0663259253620378,107
31,0.575,0.0663259253620378,115
32,0.575,0.0663259253620378,117
33,0.575,0.0663259253620378,124
34,0.575,0.0663259253620378,120
35,0.575,0.0663259253620378,127
36,0.575,0.0663259253620378,144
37,0.575,0.0663259253620378,138
38,0.575,0.0663259253620378,142
39,0.575,0.0663259253620378,148
40,0.575,0.0663259253620378,150
41,0.575,0.0663259253620378,167
42,0.575,0.0663259253620378,164
43,0.575,0.0663259253620378,177
44,0.575,0.0663259253620378,184
45,0.575,0.0663259253620378,179
46,0.575,0.0663259253620378,173
47,0.575,0.0663259253620378,180
48,0.575,0.0663259253620378,187
49,0.575,0.0663259253620378,187
50,0.575,0.0663259253620378,203
51,0.575,0.0663259253620378,198
52,0.575,0.0663259253620378,210
53,0.575,0.0663259253620378,209
54,0.575,0.0663259253620378,220
55,0.575,0.0663259253620378,227
56,0.575,0.0663259253620378,232
57,0.575,0.0663259253620378,240
58,0.575,0.0663259253620378,242
59,0.575,0.0663259253620378,245
60,0.575,0.0663259253620378,255
61,0.575,0.0663259253620378,276
62,0.575,0.0663259253620378,277
63,0.575,0.0663259253620378,281
64,0.575,0.0663259253620378,277
65,0.575,0.0663259253620378,282
66,0.575,0.0663259253620378,280
67,0.575,0.0663259253620378,289
68,0.575,0.0663259253620378,282
69,0.575,0.0663259253620378,295
70,0.575,0.0663259253620378,303
71,0.575,0.0663259253620378,312
72,0.575,0.0663259253620378,316
73,0.575,0.0663259253620378,337
74,0.575,0.0663259253620378,359
75,0.575,0.0663259253620378,353
76,0.575,0.0663259253620378,356
77,0.575,0.0663259253620378,361
78,0.575,0.0663259253620378,355
79,0.575,0.0663259253620378,367
80,0.575,0.0663259253620378,370
81,0.575,0.0663259253620378,369
82,0.575,0.0663259253620378,382
83,0.575,0.0663259253620378,381
84,0.575,0.0663259253620378,404
85,0.575,0.0663259253620378,415
86,0.575,0.0663259253620378,416
87,0.575,0.0663259253620378,426
88,0.575,0.0663259253620378,408
89,0.575,0.0663259253620378,416
90,0.575,0.0663259253620378,418
91,0.575,0.0663259253620378,428
92,0.575,0.0663259253620378,447
93,0.575,0.0663259253620378,475
94,0.575,0.0663259253620378,478
95,0.575,0.0663259253620378,493
96,0.575,0.0663259253620378,495
1,0.575,-0.933674074637962,1
2,0.575,-0.933674074637962,1
3,0.575,-0.933674074637962,1
4,0.575,-0.933674074637962,1
5,0.575,-0.933674074637962,2
6,0.575,-0.933674074637962,2
7,0.575,-0.933674074637962,3
8,0.575,-0.933674074637962,4
9,0.575,-0.933674074637962,4
10,0.575,-0.933674074637962,2
11,0.575,-0.933674074637962,3
12,0.575,-0.933674074637962,5
13,0.575,-0.933674074637962,4
14,0.575,-0.933674074637962,6
15,0.575,-0.933674074637962,5
16,0.575,-0.933674074637962,4
17,0.575,-0.933674074637962,5
18,0.575,-0.933674074637962,6
19,0.575,-0.933674074637962,8
20,0.575,-0.933674074637962,6
21,0.575,-0.933674074637962,10
22,0.575,-0.933674074637962,10
23,0.575,-0.933674074637962,12
24,0.575,-0.933674074637962,12
25,0.575,-0.933674074637962,9
26,0.575,-0.933674074637962,12
27,0.575,-0.933674074637962,16
28,0.575,-0.933674074637962,18
29,0.575,-0.933674074637962,16
30,0.575,-0.933674074637962,16
31,0.575,-0.933674074637962,15
32,0.575,-0.933674074637962,14
33,0.575,-0.933674074637962,19
34,0.575,-0.933674074637962,21
35,0.575,-0.933674074637962,24
36,0.575,-0.933674074637962,24
37,0.575,-0.933674074637962,26
38,0.575,-0.933674074637962,23
39,0.575,-0.933674074637962,27
40,0.575,-0.933674074637962,28
41,0.575,-0.933674074637962,29
42,0.575,-0.933674074637962,26
43,0.575,-0.933674074637962,28
44,0.575,-0.933674074637962,25
45,0.575,-0.933674074637962,28
46,0.575,-0.933674074637962,30
47,0.575,-0.933674074637962,31
48,0.575,-0.933674074637962,38
49,0.575,-0.933674074637962,33
50,0.575,-0.933674074637962,27
51,0.575,-0.933674074637962,34
52,0.575,-0.933674074637962,43
53,0.575,-0.933674074637962,41
54,0.575,-0.933674074637962,38
55,0.575,-0.933674074637962,38
56,0.575,-0.933674074637962,37
57,0.575,-0.933674074637962,40
58,0.575,-0.933674074637962,45
59,0.575,-0.933674074637962,46
60,0.575,-0.933674074637962,44
61,0.575,-0.933674074637962,50
62,0.575,-0.933674074637962,52
63,0.575,-0.933674074637962,54
64,0.575,-0.933674074637962,52
65,0.575,-0.933674074637962,54
66,0.575,-0.933674074637962,46
67,0.575,-0.933674074637962,51
68,0.575,-0.933674074637962,54
69,0.575,-0.933674074637962,55
70,0.575,-0.933674074637962,52
71,0.575,-0.933674074637962,54
72,0.575,-0.933674074637962,50
73,0.575,-0.933674074637962,49
74,0.575,-0.933674074637962,52
75,0.575,-0.933674074637962,57
76,0.575,-0.933674074637962,54
77,0.575,-0.933674074637962,57
78,0.575,-0.933674074637962,49
79,0.575,-0.933674074637962,50
80,0.575,-0.933674074637962,46
81,0.575,-0.933674074637962,56
82,0.575,-0.933674074637962,63
83,0.575,-0.933674074637962,58
84,0.575,-0.933674074637962,59
85,0.575,-0.933674074637962,54
86,0.575,-0.933674074637962,66
87,0.575,-0.933674074637962,66
88,0.575,-0.933674074637962,64
89,0.575,-0.933674074637962,63
90,0.575,-0.933674074637962,64
91,0.575,-0.933674074637962,69
92,0.575,-0.933674074637962,67
93,0.575,-0.933674074637962,81
94,0.575,-0.933674074637962,87
