"t","Pp","Virus_D","Virions"
1,0.575,0.0663259253620378,36
2,0.575,0.0663259253620378,57
3,0.575,0.0663259253620378,93
4,0.575,0.0663259253620378,168
5,0.575,0.0663259253620378,254
6,0.575,0.0663259253620378,329
7,0.575,0.0663259253620378,393
8,0.575,0.0663259253620378,449
9,0.575,0.0663259253620378,574
10,0.575,0.0663259253620378,703
11,0.575,0.0663259253620378,881
12,0.575,0.0663259253620378,1155
13,0.575,0.0663259253620378,1580
14,0.575,0.0663259253620378,2099
15,0.575,0.0663259253620378,2634
16,0.575,0.0663259253620378,3246
17,0.575,0.0663259253620378,3918
18,0.575,0.0663259253620378,4633
19,0.575,0.0663259253620378,5593
20,0.575,0.0663259253620378,6591
21,0.575,0.0663259253620378,7993
22,0.575,0.0663259253620378,9223
23,0.575,0.0663259253620378,10353
24,0.575,0.0663259253620378,11187
25,0.575,0.0663259253620378,12123
26,0.575,0.0663259253620378,13144
27,0.575,0.0663259253620378,14442
28,0.575,0.0663259253620378,15866
29,0.575,0.0663259253620378,17265
30,0.575,0.0663259253620378,18581
31,0.575,0.0663259253620378,19989
32,0.575,0.0663259253620378,21427
33,0.575,0.0663259253620378,23001
34,0.575,0.0663259253620378,24170
35,0.575,0.0663259253620378,25202
36,0.575,0.0663259253620378,26582
37,0.575,0.0663259253620378,28058
38,0.575,0.0663259253620378,29388
39,0.575,0.0663259253620378,30557
40,0.575,0.0663259253620378,31774
41,0.575,0.0663259253620378,33136
42,0.575,0.0663259253620378,34421
43,0.575,0.0663259253620378,35632
44,0.575,0.0663259253620378,37196
45,0.575,0.0663259253620378,38466
46,0.575,0.0663259253620378,39620
47,0.575,0.0663259253620378,40473
48,0.575,0.0663259253620378,41492
49,0.575,0.0663259253620378,42205
50,0.575,0.0663259253620378,43344
51,0.575,0.0663259253620378,44316
52,0.575,0.0663259253620378,45425
53,0.575,0.0663259253620378,46379
54,0.575,0.0663259253620378,47959
55,0.575,0.0663259253620378,49153
56,0.575,0.0663259253620378,50768
57,0.575,0.0663259253620378,52209
58,0.575,0.0663259253620378,53454
59,0.575,0.0663259253620378,55030
60,0.575,0.0663259253620378,56500
61,0.575,0.0663259253620378,58305
62,0.575,0.0663259253620378,60072
63,0.575,0.0663259253620378,61679
64,0.575,0.0663259253620378,63169
65,0.575,0.0663259253620378,64406
66,0.575,0.0663259253620378,65293
67,0.575,0.0663259253620378,66316
68,0.575,0.0663259253620378,67628
69,0.575,0.0663259253620378,68444
70,0.575,0.0663259253620378,69986
71,0.575,0.0663259253620378,71461
72,0.575,0.0663259253620378,73064
73,0.575,0.0663259253620378,74756
74,0.575,0.0663259253620378,76805
75,0.575,0.0663259253620378,79201
76,0.575,0.0663259253620378,80838
77,0.575,0.0663259253620378,82497
78,0.575,0.0663259253620378,83917
79,0.575,0.0663259253620378,85382
80,0.575,0.0663259253620378,86744
81,0.575,0.0663259253620378,88149
82,0.575,0.0663259253620378,89314
83,0.575,0.0663259253620378,90614
84,0.575,0.0663259253620378,91881
85,0.575,0.0663259253620378,93920
86,0.575,0.0663259253620378,96004
87,0.575,0.0663259253620378,97916
88,0.575,0.0663259253620378,99128
89,0.575,0.0663259253620378,100251
90,0.575,0.0663259253620378,101079
91,0.575,0.0663259253620378,102207
92,0.575,0.0663259253620378,103871
93,0.575,0.0663259253620378,106170
94,0.575,0.0663259253620378,108329
95,0.575,0.0663259253620378,110818
96,0.575,0.0663259253620378,113414
1,0.575,-0.933674074637962,39
2,0.575,-0.933674074637962,62
3,0.575,-0.933674074637962,89
4,0.575,-0.933674074637962,109
5,0.575,-0.933674074637962,150
6,0.575,-0.933674074637962,201
7,0.575,-0.933674074637962,302
8,0.575,-0.933674074637962,376
9,0.575,-0.933674074637962,444
10,0.575,-0.933674074637962,476
11,0.575,-0.933674074637962,497
12,0.575,-0.933674074637962,593
13,0.575,-0.933674074637962,674
14,0.575,-0.933674074637962,756
15,0.575,-0.933674074637962,836
16,0.575,-0.933674074637962,926
17,0.575,-0.933674074637962,957
18,0.575,-0.933674074637962,1026
19,0.575,-0.933674074637962,1119
20,0.575,-0.933674074637962,1246
21,0.575,-0.933674074637962,1327
22,0.575,-0.933674074637962,1467
23,0.575,-0.933674074637962,1707
24,0.575,-0.933674074637962,1827
25,0.575,-0.933674074637962,1977
26,0.575,-0.933674074637962,2034
27,0.575,-0.933674074637962,2218
28,0.575,-0.933674074637962,2493
29,0.575,-0.933674074637962,2713
30,0.575,-0.933674074637962,2982
31,0.575,-0.933674074637962,3140
32,0.575,-0.933674074637962,3256
33,0.575,-0.933674074637962,3456
34,0.575,-0.933674074637962,3688
35,0.575,-0.933674074637962,3969
36,0.575,-0.933674074637962,4247
37,0.575,-0.933674074637962,4614
38,0.575,-0.933674074637962,4844
39,0.575,-0.933674074637962,5117
40,0.575,-0.933674074637962,5437
41,0.575,-0.933674074637962,5572
42,0.575,-0.933674074637962,5691
43,0.575,-0.933674074637962,5923
44,0.575,-0.933674074637962,5968
45,0.575,-0.933674074637962,6185
46,0.575,-0.933674074637962,6421
47,0.575,-0.933674074637962,6699
48,0.575,-0.933674074637962,7093
49,0.575,-0.933674074637962,7343
50,0.575,-0.933674074637962,7395
51,0.575,-0.933674074637962,7510
52,0.575,-0.933674074637962,7809
53,0.575,-0.933674074637962,8296
54,0.575,-0.933674074637962,8684
55,0.575,-0.933674074637962,8913
56,0.575,-0.933674074637962,9043
57,0.575,-0.933674074637962,9167
58,0.575,-0.933674074637962,9463
59,0.575,-0.933674074637962,9719
60,0.575,-0.933674074637962,9866
61,0.575,-0.933674074637962,10113
62,0.575,-0.933674074637962,10549
63,0.575,-0.933674074637962,10876
64,0.575,-0.933674074637962,11177
65,0.575,-0.933674074637962,11491
66,0.575,-0.933674074637962,11610
67,0.575,-0.933674074637962,11781
68,0.575,-0.933674074637962,12219
69,0.575,-0.933674074637962,12390
70,0.575,-0.933674074637962,12526
71,0.575,-0.933674074637962,12630
72,0.575,-0.933674074637962,12837
73,0.575,-0.933674074637962,12887
74,0.575,-0.933674074637962,12912
75,0.575,-0.933674074637962,13067
76,0.575,-0.933674074637962,13076
77,0.575,-0.933674074637962,13182
78,0.575,-0.933674074637962,13295
79,0.575,-0.933674074637962,13213
80,0.575,-0.933674074637962,12982
81,0.575,-0.933674074637962,13013
82,0.575,-0.933674074637962,13359
83,0.575,-0.933674074637962,13502
84,0.575,-0.933674074637962,13726
85,0.575,-0.933674074637962,13716
86,0.575,-0.933674074637962,13910
87,0.575,-0.933674074637962,14467
88,0.575,-0.933674074637962,14723
89,0.575,-0.933674074637962,14948
90,0.575,-0.933674074637962,15333
91,0.575,-0.933674074637962,15618
92,0.575,-0.933674074637962,16026
93,0.575,-0.933674074637962,16374
94,0.575,-0.933674074637962,17189
95,0.575,-0.933674074637962,17828
96,0.575,-0.933674074637962,18182
1,0.575,1.06632592536204,36
2,0.575,1.06632592536204,57
3,0.575,1.06632592536204,83
4,0.575,1.06632592536204,111
5,0.575,1.06632592536204,128
6,0.575,1.06632592536204,176
7,0.575,1.06632592536204,216
8,0.575,1.06632592536204,269
9,0.575,1.06632592536204,287
10,0.575,1.06632592536204,409
11,0.575,1.06632592536204,590
12,0.575,1.06632592536204,787
13,0.575,1.06632592536204,1038
14,0.575,1.06632592536204,1495
15,0.575,1.06632592536204,2583
16,0.575,1.06632592536204,3994
17,0.575,1.06632592536204,5708
18,0.575,1.06632592536204,8536
19,0.575,1.06632592536204,11974
20,0.575,1.06632592536204,15709
21,0.575,1.06632592536204,19680
22,0.575,1.06632592536204,24031
23,0.575,1.06632592536204,29460
24,0.575,1.06632592536204,35369
25,0.575,1.06632592536204,42108
26,0.575,1.06632592536204,49583
27,0.575,1.06632592536204,57164
28,0.575,1.06632592536204,65517
29,0.575,1.06632592536204,74564
30,0.575,1.06632592536204,84911
31,0.575,1.06632592536204,95227
32,0.575,1.06632592536204,106080
33,0.575,1.06632592536204,117154
34,0.575,1.06632592536204,129005
35,0.575,1.06632592536204,140849
36,0.575,1.06632592536204,152182
37,0.575,1.06632592536204,163555
38,0.575,1.06632592536204,174485
39,0.575,1.06632592536204,187269
40,0.575,1.06632592536204,199878
41,0.575,1.06632592536204,211967
42,0.575,1.06632592536204,224189
43,0.575,1.06632592536204,236636
44,0.575,1.06632592536204,249071
45,0.575,1.06632592536204,262942
46,0.575,1.06632592536204,276313
47,0.575,1.06632592536204,291051
48,0.575,1.06632592536204,305118
49,0.575,1.06632592536204,317585
50,0.575,1.06632592536204,330072
51,0.575,1.06632592536204,343697
52,0.575,1.06632592536204,357757
53,0.575,1.06632592536204,370048
54,0.575,1.06632592536204,380550
55,0.575,1.06632592536204,387877
56,0.575,1.06632592536204,390190
57,0.575,1.06632592536204,388031
58,0.575,1.06632592536204,383629
59,0.575,1.06632592536204,375002
60,0.575,1.06632592536204,363468
61,0.575,1.06632592536204,349415
62,0.575,1.06632592536204,333705
63,0.575,1.06632592536204,316066
64,0.575,1.06632592536204,298359
65,0.575,1.06632592536204,279849
66,0.575,1.06632592536204,261353
67,0.575,1.06632592536204,241762
68,0.575,1.06632592536204,222087
69,0.575,1.06632592536204,201665
70,0.575,1.06632592536204,182668
71,0.575,1.06632592536204,164714
72,0.575,1.06632592536204,147668
73,0.575,1.06632592536204,131581
74,0.575,1.06632592536204,116840
75,0.575,1.06632592536204,103802
76,0.575,1.06632592536204,92088
77,0.575,1.06632592536204,81569
78,0.575,1.06632592536204,72171
79,0.575,1.06632592536204,63733
80,0.575,1.06632592536204,56099
81,0.575,1.06632592536204,49194
82,0.575,1.06632592536204,42984
83,0.575,1.06632592536204,37567
84,0.575,1.06632592536204,32713
85,0.575,1.06632592536204,28459
86,0.575,1.06632592536204,24677
87,0.575,1.06632592536204,21413
88,0.575,1.06632592536204,18662
89,0.575,1.06632592536204,16237
90,0.575,1.06632592536204,14005
91,0.575,1.06632592536204,12022
92,0.575,1.06632592536204,10381
93,0.575,1.06632592536204,8847
94,0.575,1.06632592536204,7622
95,0.575,1.06632592536204,6554
96,0.575,1.06632592536204,5683
1,0.575,2.06632592536204,36
2,0.575,2.06632592536204,57
3,0.575,2.06632592536204,83
4,0.575,2.06632592536204,111
5,0.575,2.06632592536204,143
6,0.575,2.06632592536204,204
7,0.575,2.06632592536204,256
8,0.575,2.06632592536204,297
9,0.575,2.06632592536204,306
10,0.575,2.06632592536204,331
11,0.575,2.06632592536204,370
12,0.575,2.06632592536204,371
13,0.575,2.06632592536204,394
14,0.575,2.06632592536204,445
15,0.575,2.06632592536204,586
16,0.575,2.06632592536204,718
17,0.575,2.06632592536204,755
18,0.575,2.06632592536204,793
19,0.575,2.06632592536204,900
20,0.575,2.06632592536204,1049
21,0.575,2.06632592536204,1328
22,0.575,2.06632592536204,1800
23,0.575,2.06632592536204,2284
24,0.575,2.06632592536204,3092
25,0.575,2.06632592536204,4188
26,0.575,2.06632592536204,5483
27,0.575,2.06632592536204,7714
28,0.575,2.06632592536204,11441
29,0.575,2.06632592536204,16697
30,0.575,2.06632592536204,25346
31,0.575,2.06632592536204,37961
32,0.575,2.06632592536204,56472
33,0.575,2.06632592536204,83763
34,0.575,2.06632592536204,121354
35,0.575,2.06632592536204,168259
36,0.575,2.06632592536204,226618
37,0.575,2.06632592536204,294843
38,0.575,2.06632592536204,368921
39,0.575,2.06632592536204,449209
40,0.575,2.06632592536204,530392
41,0.575,2.06632592536204,602800
42,0.575,2.06632592536204,658215
43,0.575,2.06632592536204,692682
44,0.575,2.06632592536204,701694
45,0.575,2.06632592536204,689970
46,0.575,2.06632592536204,663569
47,0.575,2.06632592536204,627112
48,0.575,2.06632592536204,584739
49,0.575,2.06632592536204,539496
50,0.575,2.06632592536204,493703
51,0.575,2.06632592536204,448250
52,0.575,2.06632592536204,404361
53,0.575,2.06632592536204,363013
54,0.575,2.06632592536204,324702
55,0.575,2.06632592536204,289249
56,0.575,2.06632592536204,256734
57,0.575,2.06632592536204,226978
58,0.575,2.06632592536204,200400
59,0.575,2.06632592536204,175843
60,0.575,2.06632592536204,154789
61,0.575,2.06632592536204,135264
62,0.575,2.06632592536204,118323
63,0.575,2.06632592536204,103386
64,0.575,2.06632592536204,90379
65,0.575,2.06632592536204,78925
66,0.575,2.06632592536204,68693
67,0.575,2.06632592536204,59854
68,0.575,2.06632592536204,51983
69,0.575,2.06632592536204,45269
70,0.575,2.06632592536204,39378
71,0.575,2.06632592536204,34172
72,0.575,2.06632592536204,29607
73,0.575,2.06632592536204,25697
74,0.575,2.06632592536204,22253
75,0.575,2.06632592536204,19272
76,0.575,2.06632592536204,16651
77,0.575,2.06632592536204,14381
78,0.575,2.06632592536204,12394
79,0.575,2.06632592536204,10723
80,0.575,2.06632592536204,9211
81,0.575,2.06632592536204,7868
82,0.575,2.06632592536204,6708
83,0.575,2.06632592536204,5749
84,0.575,2.06632592536204,4998
85,0.575,2.06632592536204,4315
86,0.575,2.06632592536204,3736
87,0.575,2.06632592536204,3284
88,0.575,2.06632592536204,2868
89,0.575,2.06632592536204,2492
90,0.575,2.06632592536204,2159
91,0.575,2.06632592536204,1887
92,0.575,2.06632592536204,1653
93,0.575,2.06632592536204,1421
94,0.575,2.06632592536204,1269
95,0.575,2.06632592536204,1141
96,0.575,2.06632592536204,1016
1,0.575,3.06632592536204,36
2,0.575,3.06632592536204,57
3,0.575,3.06632592536204,83
4,0.575,3.06632592536204,111
5,0.575,3.06632592536204,143
6,0.575,3.06632592536204,204
7,0.575,3.06632592536204,256
8,0.575,3.06632592536204,337
9,0.575,3.06632592536204,368
10,0.575,3.06632592536204,358
11,0.575,3.06632592536204,338
12,0.575,3.06632592536204,333
13,0.575,3.06632592536204,376
14,0.575,3.06632592536204,378
15,0.575,3.06632592536204,394
16,0.575,3.06632592536204,382
17,0.575,3.06632592536204,412
18,0.575,3.06632592536204,544
19,0.575,3.06632592536204,614
20,0.575,3.06632592536204,717
21,0.575,3.06632592536204,836
22,0.575,3.06632592536204,968
23,0.575,3.06632592536204,1061
24,0.575,3.06632592536204,1221
25,0.575,3.06632592536204,1451
26,0.575,3.06632592536204,1704
27,0.575,3.06632592536204,2180
28,0.575,3.06632592536204,2701
29,0.575,3.06632592536204,3163
30,0.575,3.06632592536204,3758
31,0.575,3.06632592536204,4367
32,0.575,3.06632592536204,5538
33,0.575,3.06632592536204,6847
34,0.575,3.06632592536204,8604
35,0.575,3.06632592536204,11826
36,0.575,3.06632592536204,16307
37,0.575,3.06632592536204,22614
38,0.575,3.06632592536204,31827
39,0.575,3.06632592536204,48117
40,0.575,3.06632592536204,74542
41,0.575,3.06632592536204,121652
42,0.575,3.06632592536204,200304
43,0.575,3.06632592536204,318210
44,0.575,3.06632592536204,468830
45,0.575,3.06632592536204,614488
46,0.575,3.06632592536204,715510
47,0.575,3.06632592536204,766936
48,0.575,3.06632592536204,782995
49,0.575,3.06632592536204,770911
50,0.575,3.06632592536204,742796
51,0.575,3.06632592536204,701787
52,0.575,3.06632592536204,654169
53,0.575,3.06632592536204,603224
54,0.575,3.06632592536204,551269
55,0.575,3.06632592536204,500032
56,0.575,3.06632592536204,450188
57,0.575,3.06632592536204,402351
58,0.575,3.06632592536204,358438
59,0.575,3.06632592536204,317917
60,0.575,3.06632592536204,281398
61,0.575,3.06632592536204,248139
62,0.575,3.06632592536204,218090
63,0.575,3.06632592536204,191104
64,0.575,3.06632592536204,167334
65,0.575,3.06632592536204,145832
66,0.575,3.06632592536204,126953
67,0.575,3.06632592536204,110406
68,0.575,3.06632592536204,95968
69,0.575,3.06632592536204,83096
