"WT_MOI","var_MOI","Spread","Neg","His","HA","Both","Expt","var_HA","WT_HA","inv_WT_HA","Both_HA","WT_Alone","WT_Co","Enrichment"
0.2,0.3,0,31.1,5.42,23.9,39.6,"NTJ52",63.5,45.02,0.022212350066637,39.6,0.148411829134721,0.623622047244095,320.196995670744
0.2,0.3,0,25.1,4.08,23.6,47.2,"NTJ52",70.8,51.28,0.0195007800312012,47.2,0.139821795750514,0.666666666666667,376.797385620915
0.2,0.3,0,21.5,4.85,25,48.6,"NTJ52",73.6,53.45,0.0187090739008419,48.6,0.184060721062619,0.660326086956522,258.754482294935
0.6,0.3,0,18.8,16.6,5.2,59.4,"NTJ52",64.6,76,0.0131578947368421,59.4,0.468926553672316,0.919504643962848,96.0871349173785
0.6,0.3,0,18.1,14.8,5.36,61.8,"NTJ52",67.16,76.6,0.0130548302872063,61.8,0.449848024316109,0.920190589636689,104.555881074642
0.6,0.3,0,12.3,14.7,4.63,68.3,"NTJ52",72.93,83,0.0120481927710843,68.3,0.544444444444444,0.936514465926231,72.0128610884914
1.2,0.3,0,14.9,33.7,1.5,49.9,"NTJ52",51.4,83.6,0.0119617224880383,49.9,0.693415637860082,0.970817120622568,40.0050803034327
1.2,0.3,0,15.6,30.7,1.27,52.4,"NTJ52",53.67,83.1,0.0120336943441637,52.4,0.663066954643629,0.976336873486119,47.2455936234766
1.2,0.3,0,10.8,32.9,1.11,55.2,"NTJ52",56.31,88.1,0.0113507377979569,55.2,0.752860411899313,0.980287693127331,30.2084261084023
2,0.3,0,13.7,44.2,0.55,41.5,"NTJ52",42.05,85.7,0.0116686114352392,41.5,0.763385146804836,0.98692033293698,29.2820979118804
2,0.3,0,14.9,44.6,0.5,40,"NTJ52",40.5,84.6,0.0118203309692671,40,0.749579831932773,0.987654320987654,31.7610585174113
2,0.3,0,9.55,42.3,0.74,47.4,"NTJ52",48.14,89.7,0.0111482720178372,47.4,0.815814850530376,0.984628167843789,20.6926016612304
0.002,0.3,1,18.2,5.77,43,33,"NTJ52",76,38.77,0.0257931390250193,33,0.240717563621193,0.434210526315789,80.3817385752075
0.002,0.3,1,20.6,6.43,41.9,31.1,"NTJ52",73,37.53,0.0266453503863576,31.1,0.237883832778394,0.426027397260274,79.090521740983
0.002,0.3,1,20.5,6.91,41.2,31.5,"NTJ52",72.7,38.41,0.0260348867482426,31.5,0.252097774534841,0.433287482806052,71.8727916601142
0.01,0.3,1,4.95,31.9,2.63,60.5,"NTJ52",63.13,92.4,0.0108225108225108,60.5,0.865671641791045,0.958339933470616,10.7047854181574
0.01,0.3,1,6.52,34.5,3.2,55.8,"NTJ52",59,90.3,0.0110741971207087,55.8,0.841053144807411,0.945762711864407,12.449815770081
0.01,0.3,1,5.91,33.3,3.05,57.8,"NTJ52",60.85,91.1,0.0109769484083425,57.8,0.849273144605968,0.94987674609696,11.8458474908763
